antibiotic,model,model_label,n_iter,cv_splits,cv_repeats,fits_requested,search_elapsed_seconds,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_resistant_mean,cv_f1_resistant_std,cv_roc_auc_mean,cv_roc_auc_std,cv_recall_resistant_mean,cv_recall_resistant_std,best_params,holdout_accuracy,holdout_balanced_accuracy,holdout_balanced_accuracy_ci95_low,holdout_balanced_accuracy_ci95_high,holdout_roc_auc,holdout_recall_resistant,holdout_specificity_susceptible,holdout_false_susceptible,holdout_false_resistant,selection_rule
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,5,5,2,50,619.903746,0.845503,0.013063,0.765473,0.018693,0.910792,0.013966,0.776494,0.022066,"{""logisticregression__solver"": ""saga"", ""logisticregression__penalty"": ""l1"", ""logisticregression__C"": 0.1}",0.874231,0.844316,0.82258,0.867551,0.90585,0.783784,0.904849,80,104,Mayor exactitud balanceada media en validación cruzada repetida
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,5,5,2,50,891.969201,0.825456,0.013298,0.70849,0.016519,0.887279,0.014211,0.729895,0.028659,"{""logisticregression__solver"": ""saga"", ""logisticregression__penalty"": ""l1"", ""logisticregression__C"": 0.1}",0.890744,0.82743,0.792302,0.859126,0.893371,0.724409,0.930451,70,74,Mayor exactitud balanceada media en validación cruzada repetida
