feature,gene,importance,abs_importance,importance_type,fold,rank,antibiotic,model,model_label
amr__cmy-2,cmy-2,0.569738,0.569738,coeficiente_logistico_absoluto,1,3,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-14,ctx-m-14,0.530619,0.530619,coeficiente_logistico_absoluto,1,4,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.518449,0.518449,coeficiente_logistico_absoluto,1,5,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.504249,0.504249,coeficiente_logistico_absoluto,1,6,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.484591,0.484591,coeficiente_logistico_absoluto,1,7,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,0.433191,0.433191,coeficiente_logistico_absoluto,1,8,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,0.406083,0.406083,coeficiente_logistico_absoluto,1,9,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,0.401531,0.401531,coeficiente_logistico_absoluto,1,10,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,0.364179,0.364179,coeficiente_logistico_absoluto,1,11,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.305632,0.305632,coeficiente_logistico_absoluto,1,12,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-55,ctx-m-55,0.234648,0.234648,coeficiente_logistico_absoluto,1,13,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,0.230051,0.230051,coeficiente_logistico_absoluto,1,14,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multidrug_resistance_protein_mdth,multidrug_resistance_protein_mdth,-0.229821,0.229821,coeficiente_logistico_absoluto,1,15,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,0.229363,0.229363,coeficiente_logistico_absoluto,1,16,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__qnrs1,qnrs1,0.227907,0.227907,coeficiente_logistico_absoluto,1,17,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.220852,0.220852,coeficiente_logistico_absoluto,1,18,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__response_regulator_baer,response_regulator_baer,-0.20526,0.20526,coeficiente_logistico_absoluto,1,19,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-27,ctx-m-27,0.203815,0.203815,coeficiente_logistico_absoluto,1,20,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-15,ctx-m-15,0.626223,0.626223,coeficiente_logistico_absoluto,2,1,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m_family,ctx-m_family,0.612765,0.612765,coeficiente_logistico_absoluto,2,2,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__cmy-2,cmy-2,0.582482,0.582482,coeficiente_logistico_absoluto,2,3,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-14,ctx-m-14,0.565998,0.565998,coeficiente_logistico_absoluto,2,4,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.499857,0.499857,coeficiente_logistico_absoluto,2,5,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.461964,0.461964,coeficiente_logistico_absoluto,2,6,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.449671,0.449671,coeficiente_logistico_absoluto,2,7,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,0.401174,0.401174,coeficiente_logistico_absoluto,2,8,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,0.395586,0.395586,coeficiente_logistico_absoluto,2,9,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,0.377903,0.377903,coeficiente_logistico_absoluto,2,10,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,0.324132,0.324132,coeficiente_logistico_absoluto,2,11,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,0.273476,0.273476,coeficiente_logistico_absoluto,2,12,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multidrug_resistance_protein_mdth,multidrug_resistance_protein_mdth,-0.25157,0.25157,coeficiente_logistico_absoluto,2,13,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-55,ctx-m-55,0.233812,0.233812,coeficiente_logistico_absoluto,2,14,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__response_regulator_baer,response_regulator_baer,-0.232457,0.232457,coeficiente_logistico_absoluto,2,15,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multidrug_resistance_protein_mdtg,multidrug_resistance_protein_mdtg,-0.2276,0.2276,coeficiente_logistico_absoluto,2,16,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__qnrs1,qnrs1,0.214612,0.214612,coeficiente_logistico_absoluto,2,17,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-1,ctx-m-1,0.212205,0.212205,coeficiente_logistico_absoluto,2,18,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,0.21045,0.21045,coeficiente_logistico_absoluto,2,19,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__mpha,mpha,0.201687,0.201687,coeficiente_logistico_absoluto,2,20,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-15,ctx-m-15,0.711986,0.711986,coeficiente_logistico_absoluto,3,1,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m_family,ctx-m_family,0.681872,0.681872,coeficiente_logistico_absoluto,3,2,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.505551,0.505551,coeficiente_logistico_absoluto,3,3,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-14,ctx-m-14,0.501844,0.501844,coeficiente_logistico_absoluto,3,4,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__cmy-2,cmy-2,0.465816,0.465816,coeficiente_logistico_absoluto,3,5,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.443176,0.443176,coeficiente_logistico_absoluto,3,6,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,0.429421,0.429421,coeficiente_logistico_absoluto,3,7,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.426086,0.426086,coeficiente_logistico_absoluto,3,8,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,0.395859,0.395859,coeficiente_logistico_absoluto,3,9,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,0.39307,0.39307,coeficiente_logistico_absoluto,3,10,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,0.356495,0.356495,coeficiente_logistico_absoluto,3,11,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.280922,0.280922,coeficiente_logistico_absoluto,3,12,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,0.221015,0.221015,coeficiente_logistico_absoluto,3,13,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.214449,0.214449,coeficiente_logistico_absoluto,3,14,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__broad-spectrum_class_a_beta-lactamase_tem-1,broad-spectrum_class_a_beta-lactamase_tem-1,-0.201088,0.201088,coeficiente_logistico_absoluto,3,15,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__response_regulator_baer,response_regulator_baer,-0.200145,0.200145,coeficiente_logistico_absoluto,3,16,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,0.199375,0.199375,coeficiente_logistico_absoluto,3,17,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-55,extended-spectrum_class_a_beta-lactamase_ctx-m-55,0.199036,0.199036,coeficiente_logistico_absoluto,3,18,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-27,ctx-m-27,0.193809,0.193809,coeficiente_logistico_absoluto,3,19,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-55,ctx-m-55,0.19279,0.19279,coeficiente_logistico_absoluto,3,20,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-15,ctx-m-15,0.668927,0.668927,coeficiente_logistico_absoluto,4,1,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m_family,ctx-m_family,0.615824,0.615824,coeficiente_logistico_absoluto,4,2,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__cmy-2,cmy-2,0.535553,0.535553,coeficiente_logistico_absoluto,4,3,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-14,ctx-m-14,0.507391,0.507391,coeficiente_logistico_absoluto,4,4,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.489828,0.489828,coeficiente_logistico_absoluto,4,5,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.432024,0.432024,coeficiente_logistico_absoluto,4,6,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.427643,0.427643,coeficiente_logistico_absoluto,4,7,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,0.401585,0.401585,coeficiente_logistico_absoluto,4,8,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,0.373619,0.373619,coeficiente_logistico_absoluto,4,9,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,0.355594,0.355594,coeficiente_logistico_absoluto,4,10,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,0.328624,0.328624,coeficiente_logistico_absoluto,4,11,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.282651,0.282651,coeficiente_logistico_absoluto,4,12,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,0.248687,0.248687,coeficiente_logistico_absoluto,4,13,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multidrug_resistance_protein_mdth,multidrug_resistance_protein_mdth,-0.218536,0.218536,coeficiente_logistico_absoluto,4,14,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-55,ctx-m-55,0.212688,0.212688,coeficiente_logistico_absoluto,4,15,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__class_d_beta-lactamase_ec_3.5.2.6_oxa-1_family,class_d_beta-lactamase_ec_3.5.2.6_oxa-1_family,0.200502,0.200502,coeficiente_logistico_absoluto,4,16,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__qnrs1,qnrs1,0.192507,0.192507,coeficiente_logistico_absoluto,4,17,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.185816,0.185816,coeficiente_logistico_absoluto,4,18,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__response_regulator_baer,response_regulator_baer,-0.184834,0.184834,coeficiente_logistico_absoluto,4,19,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,0.182558,0.182558,coeficiente_logistico_absoluto,4,20,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-15,ctx-m-15,0.657302,0.657302,coeficiente_logistico_absoluto,5,1,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m_family,ctx-m_family,0.610934,0.610934,coeficiente_logistico_absoluto,5,2,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.473651,0.473651,coeficiente_logistico_absoluto,5,3,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__cmy-2,cmy-2,0.465239,0.465239,coeficiente_logistico_absoluto,5,4,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.460466,0.460466,coeficiente_logistico_absoluto,5,5,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.453286,0.453286,coeficiente_logistico_absoluto,5,6,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-14,ctx-m-14,0.413491,0.413491,coeficiente_logistico_absoluto,5,7,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,0.391858,0.391858,coeficiente_logistico_absoluto,5,8,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,0.385459,0.385459,coeficiente_logistico_absoluto,5,9,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,0.385405,0.385405,coeficiente_logistico_absoluto,5,10,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,0.36136,0.36136,coeficiente_logistico_absoluto,5,11,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.269181,0.269181,coeficiente_logistico_absoluto,5,12,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__qnrs1,qnrs1,0.265366,0.265366,coeficiente_logistico_absoluto,5,13,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,0.26266,0.26266,coeficiente_logistico_absoluto,5,14,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__undecaprenyl-diphosphatase_bcrc_ec_3.6.1.27_conveys_bacitracin_resistance,undecaprenyl-diphosphatase_bcrc_ec_3.6.1.27_conveys_bacitracin_resistance,-0.258871,0.258871,coeficiente_logistico_absoluto,5,15,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__response_regulator_baer,response_regulator_baer,-0.24791,0.24791,coeficiente_logistico_absoluto,5,16,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-27,ctx-m-27,0.220283,0.220283,coeficiente_logistico_absoluto,5,17,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-1,ctx-m-1,0.207347,0.207347,coeficiente_logistico_absoluto,5,18,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.205663,0.205663,coeficiente_logistico_absoluto,5,19,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-55,ctx-m-55,0.204107,0.204107,coeficiente_logistico_absoluto,5,20,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-15,ctx-m-15,0.737448,0.737448,coeficiente_logistico_absoluto,6,1,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m_family,ctx-m_family,0.637982,0.637982,coeficiente_logistico_absoluto,6,2,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-14,ctx-m-14,0.593717,0.593717,coeficiente_logistico_absoluto,6,3,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__cmy-2,cmy-2,0.51061,0.51061,coeficiente_logistico_absoluto,6,4,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.496747,0.496747,coeficiente_logistico_absoluto,6,5,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.463988,0.463988,coeficiente_logistico_absoluto,6,6,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.439445,0.439445,coeficiente_logistico_absoluto,6,7,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,0.422801,0.422801,coeficiente_logistico_absoluto,6,8,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,0.419693,0.419693,coeficiente_logistico_absoluto,6,9,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,0.416365,0.416365,coeficiente_logistico_absoluto,6,10,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,0.400893,0.400893,coeficiente_logistico_absoluto,6,11,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multidrug_resistance_protein_mdth,multidrug_resistance_protein_mdth,-0.316491,0.316491,coeficiente_logistico_absoluto,6,12,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.292854,0.292854,coeficiente_logistico_absoluto,6,13,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,0.276735,0.276735,coeficiente_logistico_absoluto,6,14,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,0.270499,0.270499,coeficiente_logistico_absoluto,6,15,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-27,ctx-m-27,0.251005,0.251005,coeficiente_logistico_absoluto,6,16,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__response_regulator_baer,response_regulator_baer,-0.217977,0.217977,coeficiente_logistico_absoluto,6,17,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_quinolone_resistance_pentapeptide_repeat_protein_qnrs1,multispecies_quinolone_resistance_pentapeptide_repeat_protein_qnrs1,0.213149,0.213149,coeficiente_logistico_absoluto,6,18,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.208207,0.208207,coeficiente_logistico_absoluto,6,19,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__qnrs1,qnrs1,0.208015,0.208015,coeficiente_logistico_absoluto,6,20,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m_family,ctx-m_family,0.705667,0.705667,coeficiente_logistico_absoluto,7,1,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-15,ctx-m-15,0.672213,0.672213,coeficiente_logistico_absoluto,7,2,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__cmy-2,cmy-2,0.542347,0.542347,coeficiente_logistico_absoluto,7,3,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.540975,0.540975,coeficiente_logistico_absoluto,7,4,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.486904,0.486904,coeficiente_logistico_absoluto,7,5,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.481348,0.481348,coeficiente_logistico_absoluto,7,6,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-14,ctx-m-14,0.442974,0.442974,coeficiente_logistico_absoluto,7,7,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,0.402745,0.402745,coeficiente_logistico_absoluto,7,8,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,0.380621,0.380621,coeficiente_logistico_absoluto,7,9,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,0.374319,0.374319,coeficiente_logistico_absoluto,7,10,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,0.359251,0.359251,coeficiente_logistico_absoluto,7,11,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.26967,0.26967,coeficiente_logistico_absoluto,7,12,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,0.235065,0.235065,coeficiente_logistico_absoluto,7,13,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__response_regulator_baer,response_regulator_baer,-0.23313,0.23313,coeficiente_logistico_absoluto,7,14,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__oxa-1_family_class_d_beta-lactamase,oxa-1_family_class_d_beta-lactamase,0.21286,0.21286,coeficiente_logistico_absoluto,7,15,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.208653,0.208653,coeficiente_logistico_absoluto,7,16,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-55,ctx-m-55,0.202116,0.202116,coeficiente_logistico_absoluto,7,17,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__class_d_beta-lactamase_ec_3.5.2.6_oxa-1_family,class_d_beta-lactamase_ec_3.5.2.6_oxa-1_family,0.194462,0.194462,coeficiente_logistico_absoluto,7,18,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multidrug_resistance_protein_mdth,multidrug_resistance_protein_mdth,-0.190821,0.190821,coeficiente_logistico_absoluto,7,19,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-27,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-27,0.185118,0.185118,coeficiente_logistico_absoluto,7,20,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-15,ctx-m-15,0.639053,0.639053,coeficiente_logistico_absoluto,8,1,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m_family,ctx-m_family,0.628378,0.628378,coeficiente_logistico_absoluto,8,2,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
amr__cmy-2,cmy-2,0.526929,0.526929,coeficiente_logistico_absoluto,8,3,cefotaxime,logistic_regression_balanced,Regresión logística balanceada
