antibiotic,model,model_label,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logisticregression__solver,param_logisticregression__penalty,param_logisticregression__C,param_logisticregression__l1_ratio,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_class_weight,param_bootstrap,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_learning_rate,param_gamma,param_colsample_bytree
ciprofloxacin,xgboost_weighted,XGBoost ponderado,2.118959,0.049281,0.205623,0.029774,,,,,"{'subsample': 1.0, 'reg_lambda': 2, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.85}",0.814274,0.794603,0.829531,0.809153,0.817088,0.808689,0.804819,0.806891,0.816481,0.81143,0.811296,0.008679,5,0.891208,0.874401,0.910701,0.896202,0.892832,0.876739,0.889412,0.891469,0.894948,0.905973,0.892388,0.010586,5,0.737794,0.712687,0.761733,0.727599,0.745887,0.732965,0.732075,0.724014,0.737968,0.735883,0.73486,0.012395,5,0.689189,0.64527,0.712838,0.685811,0.686869,0.672297,0.655405,0.682432,0.699324,0.680135,0.680957,0.018666,5,300.0,,,,,4,,,1.0,2.0,0.1,1.0,0.01,0.1,0.85
ciprofloxacin,xgboost_weighted,XGBoost ponderado,7.251113,0.264924,0.212136,0.005045,,,,,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 1, 'n_estimators': 1200, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.85}",0.837134,0.815229,0.862144,0.830868,0.847322,0.833265,0.839067,0.825882,0.836098,0.850082,0.837709,0.012486,2,0.907557,0.893442,0.932815,0.912305,0.919015,0.90481,0.907346,0.90982,0.916928,0.925558,0.912959,0.010601,1,0.753333,0.728843,0.8,0.741351,0.78185,0.752981,0.771681,0.739865,0.757679,0.782759,0.761034,0.021317,2,0.763514,0.712838,0.783784,0.760135,0.754209,0.746622,0.736486,0.739865,0.75,0.76431,0.751176,0.018202,1,1200.0,,,,,4,,,1.0,0.5,1.0,10.0,0.01,0.5,0.85
ciprofloxacin,xgboost_weighted,XGBoost ponderado,5.549784,0.171753,0.218829,0.026625,,,,,"{'subsample': 0.85, 'reg_lambda': 2, 'reg_alpha': 1, 'n_estimators': 800, 'min_child_weight': 2, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.85}",0.847378,0.820923,0.855959,0.826454,0.842341,0.841738,0.845851,0.837188,0.831058,0.849474,0.839836,0.010376,1,0.911926,0.885452,0.935018,0.91016,0.920391,0.902684,0.905641,0.905834,0.922413,0.913087,0.911261,0.012561,2,0.772881,0.739965,0.793043,0.741117,0.779359,0.765306,0.782301,0.756757,0.753022,0.779487,0.766324,0.01719,1,0.77027,0.716216,0.77027,0.739865,0.737374,0.760135,0.746622,0.756757,0.736486,0.767677,0.750167,0.01697,2,800.0,,,,,4,,,0.85,2.0,1.0,2.0,0.05,0.1,0.85
ciprofloxacin,xgboost_weighted,XGBoost ponderado,7.169481,0.180949,0.213998,0.020807,,,,,"{'subsample': 1.0, 'reg_lambda': 2, 'reg_alpha': 0.1, 'n_estimators': 1200, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.08, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.828715,0.814684,0.849774,0.825229,0.833819,0.821905,0.833972,0.830459,0.832666,0.841595,0.831282,0.009334,3,0.901787,0.878363,0.927798,0.905,0.909137,0.898281,0.898618,0.902189,0.910674,0.911081,0.904293,0.011894,3,0.744501,0.729167,0.785965,0.733884,0.762742,0.732773,0.763251,0.75,0.75,0.768439,0.752072,0.017173,3,0.743243,0.709459,0.756757,0.75,0.73064,0.736486,0.72973,0.739865,0.75,0.754209,0.740039,0.013533,3,1200.0,,,,,6,,,1.0,2.0,0.1,10.0,0.08,0.5,1.0
ciprofloxacin,xgboost_weighted,XGBoost ponderado,3.739648,0.078709,0.211747,0.016144,,,,,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.85}",0.835472,0.816891,0.843535,0.820679,0.837794,0.835499,0.8249,0.826481,0.823049,0.831494,0.829579,0.008062,4,0.898026,0.878483,0.928138,0.905409,0.908798,0.896345,0.894536,0.896345,0.910021,0.908555,0.902466,0.012388,4,0.752941,0.729452,0.774869,0.72578,0.770318,0.754653,0.747368,0.74276,0.735245,0.755633,0.748902,0.015386,4,0.756757,0.719595,0.75,0.746622,0.734007,0.753378,0.719595,0.736486,0.736486,0.734007,0.738693,0.012312,4,500.0,,,,,6,,,1.0,10.0,1.0,10.0,0.1,0.0,0.85
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,16.347945,2.077747,0.036083,0.005772,saga,l1,0.1,,"{'logisticregression__solver': 'saga', 'logisticregression__penalty': 'l1', 'logisticregression__C': 0.1}",0.834946,0.834074,0.835719,0.814727,0.804118,0.825629,0.811326,0.839357,0.843583,0.811078,0.825456,0.013298,1,0.910279,0.889513,0.886115,0.892222,0.873224,0.895769,0.871426,0.890271,0.90289,0.861084,0.887279,0.014211,2,0.72381,0.709382,0.71831,0.693976,0.69,0.717073,0.683962,0.724706,0.732861,0.690821,0.70849,0.016519,1,0.745098,0.759804,0.753695,0.70936,0.676471,0.720588,0.710784,0.758621,0.763547,0.70098,0.729895,0.028659,1,,,,,,,,,,,,,,,
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,0.143773,0.020563,0.038473,0.005621,liblinear,l1,0.01,,"{'logisticregression__solver': 'liblinear', 'logisticregression__penalty': 'l1', 'logisticregression__C': 0.01}",0.824555,0.830145,0.81145,0.823766,0.798039,0.801018,0.825243,0.830567,0.825415,0.80549,0.817569,0.011719,4,0.907594,0.904069,0.886763,0.894251,0.886854,0.901431,0.901169,0.902549,0.894297,0.887892,0.896687,0.007311,1,0.709832,0.713948,0.696296,0.712195,0.68,0.688608,0.707838,0.719807,0.721393,0.686275,0.703619,0.013972,3,0.72549,0.740196,0.694581,0.719212,0.666667,0.666667,0.730392,0.73399,0.714286,0.686275,0.707776,0.025987,5,,,,,,,,,,,,,,,
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,19.231027,2.237341,0.040698,0.00659,saga,elasticnet,0.1,0.7,"{'logisticregression__solver': 'saga', 'logisticregression__penalty': 'elasticnet', 'logisticregression__l1_ratio': 0.7, 'logisticregression__C': 0.1}",0.835047,0.827996,0.827268,0.802999,0.78951,0.831219,0.813777,0.833957,0.846634,0.805784,0.821419,0.016771,3,0.907047,0.882889,0.881988,0.884859,0.86346,0.891708,0.868004,0.8834,0.900494,0.854054,0.88179,0.015475,4,0.72,0.700229,0.702326,0.679707,0.666667,0.721154,0.687059,0.713287,0.737589,0.676123,0.700414,0.021682,4,0.75,0.75,0.743842,0.684729,0.651961,0.735294,0.715686,0.753695,0.768473,0.70098,0.725466,0.034702,3,,,,,,,,,,,,,,,
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,0.208875,0.012949,0.044366,0.004312,liblinear,l1,0.1,,"{'logisticregression__solver': 'liblinear', 'logisticregression__penalty': 'l1', 'logisticregression__C': 0.1}",0.833083,0.833486,0.835719,0.814727,0.807843,0.824454,0.811326,0.839357,0.842995,0.808039,0.825103,0.012872,2,0.909881,0.889801,0.88586,0.892338,0.873293,0.896068,0.871311,0.890231,0.902526,0.860784,0.887209,0.014198,3,0.722488,0.707763,0.71831,0.693976,0.693069,0.713592,0.683962,0.724706,0.731132,0.68599,0.707499,0.016251,2,0.740196,0.759804,0.753695,0.70936,0.686275,0.720588,0.710784,0.758621,0.763547,0.696078,0.729895,0.027285,1,,,,,,,,,,,,,,,
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,51.243712,17.943575,0.048103,0.024602,saga,elasticnet,0.3,0.85,"{'logisticregression__solver': 'saga', 'logisticregression__penalty': 'elasticnet', 'logisticregression__l1_ratio': 0.85, 'logisticregression__C': 0.3}",0.82986,0.82516,0.810727,0.797124,0.785686,0.821718,0.806525,0.82128,0.846859,0.785784,0.813072,0.018732,5,0.899524,0.869404,0.867655,0.858712,0.838916,0.884726,0.85638,0.870596,0.894213,0.835156,0.867528,0.020281,5,0.701595,0.689038,0.679157,0.663484,0.646081,0.697892,0.674473,0.689655,0.729792,0.643192,0.681436,0.024959,5,0.754902,0.754902,0.714286,0.684729,0.666667,0.730392,0.705882,0.738916,0.778325,0.671569,0.720057,0.036014,4,,,,,,,,,,,,,,,
