feature,gene,importance,abs_importance,importance_type,antibiotic,model,model_label
amr__sensor_protein_basspmrb_activates_basrpmra,sensor_protein_basspmrb_activates_basrpmra,-0.141882,0.141882,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__bepd,bepd,0.136322,0.136322,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__vapb_protein_antitoxin_to_vapc,vapb_protein_antitoxin_to_vapc,0.136026,0.136026,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada25,ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada25,-0.135625,0.135625,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra14,multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra14,0.129707,0.129707,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__aminoglycoside_n3-acetyltransferase_ec_2.3.1.81_aac3-iiiiiivviviiiixx,aminoglycoside_n3-acetyltransferase_ec_2.3.1.81_aac3-iiiiiivviviiiixx,0.127654,0.127654,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__mdti,mdti,0.125457,0.125457,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__class_c_extended-spectrum_beta-lactamase_ec-18,class_c_extended-spectrum_beta-lactamase_ec-18,0.124629,0.124629,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__cata1,cata1,-0.124097,0.124097,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra5,multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra5,-0.123911,0.123911,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__ddl,ddl,-0.122469,0.122469,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_coli_acra,escherichia_coli_acra,-0.121745,0.121745,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__dfra,dfra,0.121514,0.121514,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__tetr,tetr,0.120098,0.120098,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_type_a-2_chloramphenicol_o-acetyltransferase_catii,multispecies_type_a-2_chloramphenicol_o-acetyltransferase_catii,-0.11961,0.11961,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__tem-141,tem-141,0.118865,0.118865,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__ermb,ermb,0.118468,0.118468,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_coli_uhpt_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_uhpt_with_mutation_conferring_resistance_to_fosfomycin,0.117447,0.117447,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__folp2,folp2,-0.116627,0.116627,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__uhpt,uhpt,-0.115406,0.115406,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_tetracycline_efflux_mfs_transporter_teta,multispecies_tetracycline_efflux_mfs_transporter_teta,0.11531,0.11531,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__rmtb,rmtb,0.114436,0.114436,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__subclass_b1_metallo-beta-lactamase_ndm-5,subclass_b1_metallo-beta-lactamase_ndm-5,0.113431,0.113431,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__teta,teta,0.113182,0.113182,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__sul1,sul1,0.112282,0.112282,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__opmb,opmb,0.111563,0.111563,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__aminoglycoside_n-acetyltransferase_aac3-iid,aminoglycoside_n-acetyltransferase_aac3-iid,0.110848,0.110848,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__oxa-1_family_class_d_beta-lactamase,oxa-1_family_class_d_beta-lactamase,0.110311,0.110311,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
