Antibiótico,Arquitectura MLP,Balanced accuracy media,DE balanced accuracy,ROC-AUC medio,F1 resistente medio,Recall resistente medio,Falsos susceptibles promedio,Falsos resistentes promedio,Semillas
Cefotaxime,MLP-32,0.8074011307797051,0.0136302722271551,0.8826990493669494,0.6591123874430763,0.732283464566929,68.0,125.0,7
Cefotaxime,MLP-16,0.7827620584081124,0.0131740087846433,0.8605940822246844,0.6076170593619629,0.7232845894263217,70.28571428571429,167.85714285714286,7
Cefotaxime,MLP-16-8,0.7544730076033729,0.1130978892459399,0.8225394229386741,0.5932680728391438,0.7637795275590552,60.0,271.1428571428572,7
Ciprofloxacin,MLP-32,0.8305146474405395,0.0060309474921149,0.8978571958443871,0.7262656040759913,0.7938223938223938,76.28571428571429,145.14285714285714,7
Ciprofloxacin,MLP-16,0.8252999961142687,0.006762353370528,0.8962216562399544,0.7233291663715631,0.7752895752895752,83.14285714285714,136.28571428571428,7
Ciprofloxacin,MLP-16-8,0.7816157223751002,0.1242750579056682,0.8487293658839862,0.6810719812412837,0.8127413127413128,69.28571428571429,272.7142857142857,7
