Antibiótico,Método dejado fuera para prueba,n,Resistentes,Balanced accuracy,ROC-AUC,Recall resistente,Falsos susceptibles,Falsos resistentes
Ciprofloxacin,Broth dilution,2494,960,0.7861914656671013,0.8578450945241199,0.7822916666666667,209,322
Ciprofloxacin,Disk diffusion,3709,675,0.8154244488390829,0.8688630093508143,0.7155555555555555,192,257
Ciprofloxacin,MIC,1074,186,0.8134808195292067,0.8629456068972198,0.7204301075268817,52,83
Cefotaxime,Agar dilution,1015,81,0.8205184127739444,0.8777989266925742,0.691358024691358,25,47
Cefotaxime,Broth dilution,2206,829,0.7675962937558529,0.8289142758028021,0.6513872135102533,289,160
Cefotaxime,Disk diffusion,3326,330,0.8010266213537242,0.8477009750374237,0.7212121212121212,92,357
