antibiotic,model,n_samples,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_resistant_mean,f1_resistant_std,roc_auc_mean,roc_auc_std,recall_resistant_mean,recall_resistant_std,precision_resistant_mean,precision_resistant_std,specificity_susceptible_mean,specificity_susceptible_std,selection_rule,holdout_balanced_accuracy,holdout_roc_auc,holdout_false_susceptible,holdout_false_resistant
ciprofloxacin,logistic_regression_balanced,7313,633,0.8767,0.009,0.8444,0.0097,0.7618,0.0157,0.9108,0.0125,0.779,0.0117,0.7454,0.0203,0.9097,0.0085,highest 3-fold CV balanced accuracy,0.8452,0.906,79,105
cefotaxime,logistic_regression_balanced,6590,560,0.8821,0.0048,0.8259,0.0052,0.7063,0.0081,0.8869,0.0097,0.7343,0.0134,0.6807,0.017,0.9174,0.0074,highest 3-fold CV balanced accuracy,0.8294,0.894,69,74
