feature,gene,importance,abs_importance,importance_type,fold,rank,antibiotic,model
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.0165,0.0165,random_forest_gini_importance,2,6,cefotaxime,random_forest_balanced
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.016,0.016,random_forest_gini_importance,2,7,cefotaxime,random_forest_balanced
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.0137,0.0137,random_forest_gini_importance,2,8,cefotaxime,random_forest_balanced
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.0122,0.0122,random_forest_gini_importance,2,9,cefotaxime,random_forest_balanced
amr__ctx-m-14,ctx-m-14,0.0119,0.0119,random_forest_gini_importance,2,10,cefotaxime,random_forest_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.011,0.011,random_forest_gini_importance,2,11,cefotaxime,random_forest_balanced
amr__teta,teta,0.0109,0.0109,random_forest_gini_importance,2,12,cefotaxime,random_forest_balanced
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.0108,0.0108,random_forest_gini_importance,2,13,cefotaxime,random_forest_balanced
amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,0.0108,0.0108,random_forest_gini_importance,2,14,cefotaxime,random_forest_balanced
amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,0.0105,0.0105,random_forest_gini_importance,2,15,cefotaxime,random_forest_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,0.0101,0.0101,random_forest_gini_importance,2,16,cefotaxime,random_forest_balanced
amr__mpha_family,mpha_family,0.0098,0.0098,random_forest_gini_importance,2,17,cefotaxime,random_forest_balanced
amr__mrx,mrx,0.0083,0.0083,random_forest_gini_importance,2,18,cefotaxime,random_forest_balanced
amr__multispecies_quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,multispecies_quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,0.0083,0.0083,random_forest_gini_importance,2,19,cefotaxime,random_forest_balanced
amr__vgac,vgac,0.0073,0.0073,random_forest_gini_importance,2,20,cefotaxime,random_forest_balanced
amr__ctx-m_family,ctx-m_family,0.0353,0.0353,random_forest_gini_importance,3,1,cefotaxime,random_forest_balanced
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.0325,0.0325,random_forest_gini_importance,3,2,cefotaxime,random_forest_balanced
amr__ctx-m-15,ctx-m-15,0.0232,0.0232,random_forest_gini_importance,3,3,cefotaxime,random_forest_balanced
amr__mpha,mpha,0.0209,0.0209,random_forest_gini_importance,3,4,cefotaxime,random_forest_balanced
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.0202,0.0202,random_forest_gini_importance,3,5,cefotaxime,random_forest_balanced
amr__cmy-2,cmy-2,0.0178,0.0178,random_forest_gini_importance,3,6,cefotaxime,random_forest_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.0148,0.0148,random_forest_gini_importance,3,7,cefotaxime,random_forest_balanced
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.0146,0.0146,random_forest_gini_importance,3,8,cefotaxime,random_forest_balanced
amr__teta,teta,0.0132,0.0132,random_forest_gini_importance,3,9,cefotaxime,random_forest_balanced
amr__sul1,sul1,0.0124,0.0124,random_forest_gini_importance,3,10,cefotaxime,random_forest_balanced
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.0113,0.0113,random_forest_gini_importance,3,11,cefotaxime,random_forest_balanced
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.01,0.01,random_forest_gini_importance,3,12,cefotaxime,random_forest_balanced
amr__vgac,vgac,0.0096,0.0096,random_forest_gini_importance,3,13,cefotaxime,random_forest_balanced
amr__ctx-m-14,ctx-m-14,0.0093,0.0093,random_forest_gini_importance,3,14,cefotaxime,random_forest_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.0093,0.0093,random_forest_gini_importance,3,15,cefotaxime,random_forest_balanced
amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,0.0092,0.0092,random_forest_gini_importance,3,16,cefotaxime,random_forest_balanced
amr__mrx,mrx,0.0079,0.0079,random_forest_gini_importance,3,17,cefotaxime,random_forest_balanced
amr__qnrs1,qnrs1,0.0078,0.0078,random_forest_gini_importance,3,18,cefotaxime,random_forest_balanced
amr__multispecies_mpha_family_macrolide_2-phosphotransferase,multispecies_mpha_family_macrolide_2-phosphotransferase,0.0076,0.0076,random_forest_gini_importance,3,19,cefotaxime,random_forest_balanced
amr__catb3,catb3,0.0073,0.0073,random_forest_gini_importance,3,20,cefotaxime,random_forest_balanced
