feature,gene,importance,abs_importance,importance_type,fold,rank,antibiotic,model
amr__ctx-m-15,ctx-m-15,0.0165,0.0165,random_forest_gini_importance,2,7,ciprofloxacin,random_forest_balanced
amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,0.0157,0.0157,random_forest_gini_importance,2,8,ciprofloxacin,random_forest_balanced
amr__dfra17,dfra17,0.0148,0.0148,random_forest_gini_importance,2,9,ciprofloxacin,random_forest_balanced
amr__aada5,aada5,0.0128,0.0128,random_forest_gini_importance,2,10,ciprofloxacin,random_forest_balanced
amr__sul1,sul1,0.0122,0.0122,random_forest_gini_importance,2,11,ciprofloxacin,random_forest_balanced
amr__teta,teta,0.0111,0.0111,random_forest_gini_importance,2,12,ciprofloxacin,random_forest_balanced
amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,0.0097,0.0097,random_forest_gini_importance,2,13,ciprofloxacin,random_forest_balanced
amr__catb3,catb3,0.0091,0.0091,random_forest_gini_importance,2,14,ciprofloxacin,random_forest_balanced
amr__vgac,vgac,0.0085,0.0085,random_forest_gini_importance,2,15,ciprofloxacin,random_forest_balanced
amr__multispecies_mpha_family_macrolide_2-phosphotransferase,multispecies_mpha_family_macrolide_2-phosphotransferase,0.0084,0.0084,random_forest_gini_importance,2,16,ciprofloxacin,random_forest_balanced
amr__aac3-iiiiiivviviiiixx,aac3-iiiiiivviviiiixx,0.0076,0.0076,random_forest_gini_importance,2,17,ciprofloxacin,random_forest_balanced
amr__ctx-m_family,ctx-m_family,0.0076,0.0076,random_forest_gini_importance,2,18,ciprofloxacin,random_forest_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.007,0.007,random_forest_gini_importance,2,19,ciprofloxacin,random_forest_balanced
amr__mpha_family,mpha_family,0.0067,0.0067,random_forest_gini_importance,2,20,ciprofloxacin,random_forest_balanced
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.0695,0.0695,random_forest_gini_importance,3,1,ciprofloxacin,random_forest_balanced
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.0526,0.0526,random_forest_gini_importance,3,2,ciprofloxacin,random_forest_balanced
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.0378,0.0378,random_forest_gini_importance,3,3,ciprofloxacin,random_forest_balanced
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.0358,0.0358,random_forest_gini_importance,3,4,ciprofloxacin,random_forest_balanced
amr__mrx,mrx,0.0264,0.0264,random_forest_gini_importance,3,5,ciprofloxacin,random_forest_balanced
amr__mpha,mpha,0.0213,0.0213,random_forest_gini_importance,3,6,ciprofloxacin,random_forest_balanced
amr__ctx-m-15,ctx-m-15,0.0165,0.0165,random_forest_gini_importance,3,7,ciprofloxacin,random_forest_balanced
amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,0.0163,0.0163,random_forest_gini_importance,3,8,ciprofloxacin,random_forest_balanced
amr__dfra17,dfra17,0.0131,0.0131,random_forest_gini_importance,3,9,ciprofloxacin,random_forest_balanced
amr__aada5,aada5,0.013,0.013,random_forest_gini_importance,3,10,ciprofloxacin,random_forest_balanced
amr__sul1,sul1,0.0126,0.0126,random_forest_gini_importance,3,11,ciprofloxacin,random_forest_balanced
amr__ctx-m_family,ctx-m_family,0.0118,0.0118,random_forest_gini_importance,3,12,ciprofloxacin,random_forest_balanced
amr__catb3,catb3,0.0107,0.0107,random_forest_gini_importance,3,13,ciprofloxacin,random_forest_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.0096,0.0096,random_forest_gini_importance,3,14,ciprofloxacin,random_forest_balanced
amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,0.0096,0.0096,random_forest_gini_importance,3,15,ciprofloxacin,random_forest_balanced
amr__aac3-iiiiiivviviiiixx,aac3-iiiiiivviviiiixx,0.0091,0.0091,random_forest_gini_importance,3,16,ciprofloxacin,random_forest_balanced
amr__escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,0.0089,0.0089,random_forest_gini_importance,3,17,ciprofloxacin,random_forest_balanced
amr__mpha_family_macrolide_2-phosphotransferase,mpha_family_macrolide_2-phosphotransferase,0.0087,0.0087,random_forest_gini_importance,3,18,ciprofloxacin,random_forest_balanced
amr__teta,teta,0.0086,0.0086,random_forest_gini_importance,3,19,ciprofloxacin,random_forest_balanced
amr__tetb,tetb,0.0083,0.0083,random_forest_gini_importance,3,20,ciprofloxacin,random_forest_balanced
amr__ctx-m_family,ctx-m_family,0.6664,0.6664,absolute_logistic_coefficient,1,1,cefotaxime,logistic_regression_balanced
amr__cmy-2,cmy-2,0.633,0.633,absolute_logistic_coefficient,1,2,cefotaxime,logistic_regression_balanced
amr__ctx-m-15,ctx-m-15,0.5638,0.5638,absolute_logistic_coefficient,1,3,cefotaxime,logistic_regression_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.5591,0.5591,absolute_logistic_coefficient,1,4,cefotaxime,logistic_regression_balanced
amr__ctx-m-14,ctx-m-14,0.5366,0.5366,absolute_logistic_coefficient,1,5,cefotaxime,logistic_regression_balanced
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.5063,0.5063,absolute_logistic_coefficient,1,6,cefotaxime,logistic_regression_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.4889,0.4889,absolute_logistic_coefficient,1,7,cefotaxime,logistic_regression_balanced
amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,0.3794,0.3794,absolute_logistic_coefficient,1,8,cefotaxime,logistic_regression_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,0.3683,0.3683,absolute_logistic_coefficient,1,9,cefotaxime,logistic_regression_balanced
amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,0.3578,0.3578,absolute_logistic_coefficient,1,10,cefotaxime,logistic_regression_balanced
amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,0.3531,0.3531,absolute_logistic_coefficient,1,11,cefotaxime,logistic_regression_balanced
amr__multidrug_resistance_protein_mdtg,multidrug_resistance_protein_mdtg,-0.2872,0.2872,absolute_logistic_coefficient,1,12,cefotaxime,logistic_regression_balanced
amr__qnrs1,qnrs1,0.269,0.269,absolute_logistic_coefficient,1,13,cefotaxime,logistic_regression_balanced
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.2248,0.2248,absolute_logistic_coefficient,1,14,cefotaxime,logistic_regression_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,0.2216,0.2216,absolute_logistic_coefficient,1,15,cefotaxime,logistic_regression_balanced
amr__multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,0.213,0.213,absolute_logistic_coefficient,1,16,cefotaxime,logistic_regression_balanced
amr__ctx-m-55,ctx-m-55,0.2081,0.2081,absolute_logistic_coefficient,1,17,cefotaxime,logistic_regression_balanced
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.1984,0.1984,absolute_logistic_coefficient,1,18,cefotaxime,logistic_regression_balanced
amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,0.1956,0.1956,absolute_logistic_coefficient,1,19,cefotaxime,logistic_regression_balanced
amr__mpha,mpha,0.1934,0.1934,absolute_logistic_coefficient,1,20,cefotaxime,logistic_regression_balanced
amr__ctx-m-15,ctx-m-15,0.714,0.714,absolute_logistic_coefficient,2,1,cefotaxime,logistic_regression_balanced
amr__ctx-m_family,ctx-m_family,0.628,0.628,absolute_logistic_coefficient,2,2,cefotaxime,logistic_regression_balanced
amr__ctx-m-14,ctx-m-14,0.522,0.522,absolute_logistic_coefficient,2,3,cefotaxime,logistic_regression_balanced
amr__cmy-2,cmy-2,0.4561,0.4561,absolute_logistic_coefficient,2,4,cefotaxime,logistic_regression_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.4444,0.4444,absolute_logistic_coefficient,2,5,cefotaxime,logistic_regression_balanced
amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,0.4183,0.4183,absolute_logistic_coefficient,2,6,cefotaxime,logistic_regression_balanced
amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,0.4151,0.4151,absolute_logistic_coefficient,2,7,cefotaxime,logistic_regression_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,0.3998,0.3998,absolute_logistic_coefficient,2,8,cefotaxime,logistic_regression_balanced
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.3993,0.3993,absolute_logistic_coefficient,2,9,cefotaxime,logistic_regression_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.3974,0.3974,absolute_logistic_coefficient,2,10,cefotaxime,logistic_regression_balanced
amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,0.3872,0.3872,absolute_logistic_coefficient,2,11,cefotaxime,logistic_regression_balanced
amr__multidrug_resistance_protein_mdth,multidrug_resistance_protein_mdth,-0.2994,0.2994,absolute_logistic_coefficient,2,12,cefotaxime,logistic_regression_balanced
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.2816,0.2816,absolute_logistic_coefficient,2,13,cefotaxime,logistic_regression_balanced
amr__ctx-m-55,ctx-m-55,0.2614,0.2614,absolute_logistic_coefficient,2,14,cefotaxime,logistic_regression_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-55,extended-spectrum_class_a_beta-lactamase_ctx-m-55,0.2385,0.2385,absolute_logistic_coefficient,2,15,cefotaxime,logistic_regression_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,0.2219,0.2219,absolute_logistic_coefficient,2,16,cefotaxime,logistic_regression_balanced
amr__ctx-m-27,ctx-m-27,0.2199,0.2199,absolute_logistic_coefficient,2,17,cefotaxime,logistic_regression_balanced
amr__broad-spectrum_class_a_beta-lactamase_tem-1,broad-spectrum_class_a_beta-lactamase_tem-1,-0.2142,0.2142,absolute_logistic_coefficient,2,18,cefotaxime,logistic_regression_balanced
amr__multispecies_chloramphenicol_efflux_mfs_transporter_cmla1,multispecies_chloramphenicol_efflux_mfs_transporter_cmla1,-0.2071,0.2071,absolute_logistic_coefficient,2,19,cefotaxime,logistic_regression_balanced
amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,0.2023,0.2023,absolute_logistic_coefficient,2,20,cefotaxime,logistic_regression_balanced
amr__ctx-m-15,ctx-m-15,0.6439,0.6439,absolute_logistic_coefficient,3,1,cefotaxime,logistic_regression_balanced
amr__ctx-m_family,ctx-m_family,0.6342,0.6342,absolute_logistic_coefficient,3,2,cefotaxime,logistic_regression_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.4465,0.4465,absolute_logistic_coefficient,3,3,cefotaxime,logistic_regression_balanced
amr__cmy-2,cmy-2,0.4425,0.4425,absolute_logistic_coefficient,3,4,cefotaxime,logistic_regression_balanced
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.4273,0.4273,absolute_logistic_coefficient,3,5,cefotaxime,logistic_regression_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.4001,0.4001,absolute_logistic_coefficient,3,6,cefotaxime,logistic_regression_balanced
amr__ctx-m-14,ctx-m-14,0.3671,0.3671,absolute_logistic_coefficient,3,7,cefotaxime,logistic_regression_balanced
