feature,gene,importance,abs_importance,importance_type,antibiotic,model
amr__acrb_2,acrb_2,0.1455,0.1455,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__h-ns,h-ns,-0.1439,0.1439,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_acrab-tolc_with_marr_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline,escherichia_coli_acrab-tolc_with_marr_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline,-0.1415,0.1415,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__sensor_protein_basspmrb_activates_basrpmra,sensor_protein_basspmrb_activates_basrpmra,-0.1389,0.1389,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__bepd,bepd,0.1373,0.1373,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__vapb_protein_antitoxin_to_vapc,vapb_protein_antitoxin_to_vapc,0.1359,0.1359,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada25,ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada25,-0.134,0.134,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra14,multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra14,0.1305,0.1305,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aminoglycoside_n3-acetyltransferase_ec_2.3.1.81_aac3-iiiiiivviviiiixx,aminoglycoside_n3-acetyltransferase_ec_2.3.1.81_aac3-iiiiiivviviiiixx,0.1274,0.1274,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__mdti,mdti,0.1271,0.1271,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__class_c_extended-spectrum_beta-lactamase_ec-18,class_c_extended-spectrum_beta-lactamase_ec-18,0.1253,0.1253,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__cata1,cata1,-0.1241,0.1241,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra5,multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra5,-0.123,0.123,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__rmtb,rmtb,0.1212,0.1212,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__tetr,tetr,0.1209,0.1209,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__tem-141,tem-141,0.1208,0.1208,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_acra,escherichia_coli_acra,-0.1208,0.1208,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__dfra,dfra,0.1208,0.1208,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__subclass_b1_metallo-beta-lactamase_ndm-5,subclass_b1_metallo-beta-lactamase_ndm-5,0.1204,0.1204,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ddl,ddl,-0.1203,0.1203,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_type_a-2_chloramphenicol_o-acetyltransferase_catii,multispecies_type_a-2_chloramphenicol_o-acetyltransferase_catii,-0.1197,0.1197,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_uhpt_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_uhpt_with_mutation_conferring_resistance_to_fosfomycin,0.1174,0.1174,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__folp2,folp2,-0.1173,0.1173,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ermb,ermb,0.1161,0.1161,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__uhpt,uhpt,-0.1144,0.1144,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_tetracycline_efflux_mfs_transporter_teta,multispecies_tetracycline_efflux_mfs_transporter_teta,0.1139,0.1139,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__teta,teta,0.1138,0.1138,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__opmb,opmb,0.1135,0.1135,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__oxa-1_family_class_d_beta-lactamase,oxa-1_family_class_d_beta-lactamase,0.1119,0.1119,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__x_16s_rrna_guanine1405-n7-methyltransferase_rmtb1,x_16s_rrna_guanine1405-n7-methyltransferase_rmtb1,0.1116,0.1116,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aminoglycoside_n-acetyltransferase_aac3-iid,aminoglycoside_n-acetyltransferase_aac3-iid,0.1113,0.1113,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__sul1,sul1,0.1111,0.1111,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra51,trimethoprim-resistant_dihydrofolate_reductase_dfra51,0.1069,0.1069,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_class_a_broad-spectrum_beta-lactamase_tem-116,multispecies_class_a_broad-spectrum_beta-lactamase_tem-116,0.1042,0.1042,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__mdtm,mdtm,0.1036,0.1036,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__mpra,mpra,-0.1012,0.1012,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aminoglycoside_2-nucleotidyltransferase_ec_2.7.7.46_ant2-ia_aadb_family,aminoglycoside_2-nucleotidyltransferase_ec_2.7.7.46_ant2-ia_aadb_family,-0.1011,0.1011,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_lincosamide_nucleotidyltransferase_lnuf,multispecies_lincosamide_nucleotidyltransferase_lnuf,-0.1003,0.1003,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__oxygen-insensitive_nadph_nitroreductase_ec_1.-.-.-,oxygen-insensitive_nadph_nitroreductase_ec_1.-.-.-,0.0997,0.0997,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__adiy,adiy,-0.0993,0.0993,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aada1,aada1,0.0984,0.0984,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__macrolide_2-phosphotransferase_mpha_family,macrolide_2-phosphotransferase_mpha_family,0.0974,0.0974,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__mpha_family_macrolide_2-phosphotransferase,mpha_family_macrolide_2-phosphotransferase,0.0973,0.0973,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__major_facilitator_superfamily_transporter._multidrug_resistance_efflux_pump.,major_facilitator_superfamily_transporter._multidrug_resistance_efflux_pump.,0.0971,0.0971,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__chloramphenicolflorfenicol_efflux_mfs_transporter_flor,chloramphenicolflorfenicol_efflux_mfs_transporter_flor,-0.0967,0.0967,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_mpha_family_macrolide_2-phosphotransferase,multispecies_mpha_family_macrolide_2-phosphotransferase,0.0964,0.0964,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_aminoglycoside_nucleotidyltransferase_ant2-ia,multispecies_aminoglycoside_nucleotidyltransferase_ant2-ia,0.0963,0.0963,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aminoglycoside_n6-acetyltransferase_ec_2.3.1.82_aac6-ib-cr_fluoroquinolone-acetylating,aminoglycoside_n6-acetyltransferase_ec_2.3.1.82_aac6-ib-cr_fluoroquinolone-acetylating,0.0963,0.0963,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__rosa,rosa,-0.0946,0.0946,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ef-tu,ef-tu,-0.0943,0.0943,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__oxa-1_family,oxa-1_family,0.094,0.094,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__rplf,rplf,0.0938,0.0938,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__subclass_b1_beta-lactamase_ec_3.5.2.6_ndm_family,subclass_b1_beta-lactamase_ec_3.5.2.6_ndm_family,0.0926,0.0926,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra5,trimethoprim-resistant_dihydrofolate_reductase_dfra5,-0.0925,0.0925,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aph6-i,aph6-i,0.0923,0.0923,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ybjg,ybjg,-0.0891,0.0891,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__qnrs1,qnrs1,-0.0889,0.0889,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_oxacillin-hydrolyzing_class_d_beta-lactamase_oxa-1,multispecies_oxacillin-hydrolyzing_class_d_beta-lactamase_oxa-1,0.0887,0.0887,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__fola_dfr,fola_dfr,0.0886,0.0886,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra14,trimethoprim-resistant_dihydrofolate_reductase_dfra14,0.088,0.088,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__brpmbl,brpmbl,0.088,0.088,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra17,multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra17,0.0863,0.0863,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__cmy-132,cmy-132,0.0862,0.0862,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__bleomycin_binding_protein_ble-mbl,bleomycin_binding_protein_ble-mbl,0.0849,0.0849,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__macrolide-specific_efflux_protein_maca,macrolide-specific_efflux_protein_maca,-0.0839,0.0839,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__qac,qac,0.0834,0.0834,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_mdfa,escherichia_coli_mdfa,0.0825,0.0825,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aminoglycoside_o-phosphotransferase_aph3-iia,aminoglycoside_o-phosphotransferase_aph3-iia,-0.0822,0.0822,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__vang,vang,0.082,0.082,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,0.0819,0.0819,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__mphb_family,mphb_family,0.0818,0.0818,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_aminoglycoside_n-acetyltransferase_aac3-iia,multispecies_aminoglycoside_n-acetyltransferase_aac3-iia,0.0818,0.0818,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__phopphoq_regulator_mgrb,phopphoq_regulator_mgrb,-0.0812,0.0812,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ctx-m-55,ctx-m-55,0.0812,0.0812,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.0806,0.0806,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multidrug_efflux_system_acrab-tolc_inner-membrane_protondrug_antiporter_acrb_rnd_type,multidrug_efflux_system_acrab-tolc_inner-membrane_protondrug_antiporter_acrb_rnd_type,0.0805,0.0805,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,0.0799,0.0799,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__cmy-42,cmy-42,0.0794,0.0794,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multidrug_efflux_system_emrky-tolc_inner-membrane_protondrug_antiporter_emry_mfs_type,multidrug_efflux_system_emrky-tolc_inner-membrane_protondrug_antiporter_emry_mfs_type,-0.0792,0.0792,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__dfra17,dfra17,0.0791,0.0791,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ec-19,ec-19,0.079,0.079,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__udp-glucose_6-dehydrogenase_ec_1.1.1.22,udp-glucose_6-dehydrogenase_ec_1.1.1.22,-0.0784,0.0784,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aac3-iid,aac3-iid,0.0778,0.0778,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__translation_elongation_factor_tu,translation_elongation_factor_tu,-0.0771,0.0771,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aac3-iic,aac3-iic,0.0759,0.0759,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
