feature,gene,importance,abs_importance,importance_type,antibiotic,model
amr__emrr,emrr,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__enoyl-acyl-carrier-protein_reductase_nadh_ec_1.3.1.9,enoyl-acyl-carrier-protein_reductase_nadh_ec_1.3.1.9,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multidrug_resistance_regulator_emrr_mpra,multidrug_resistance_regulator_emrr_mpra,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multiple_antibiotic_resistance_protein_marb,multiple_antibiotic_resistance_protein_marb,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_16s_rrna_guanine1405-n7-methyltransferase_rmtb1,multispecies_16s_rrna_guanine1405-n7-methyltransferase_rmtb1,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__sulfonamide-resistant_dihydropteroate_synthase_sul3,sulfonamide-resistant_dihydropteroate_synthase_sul3,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__suli,suli,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__tem-1,tem-1,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aminoglycoside_n6-acetyltransferase_ec_2.3.1.82_aac6-ibaac6-ii,aminoglycoside_n6-acetyltransferase_ec_2.3.1.82_aac6-ibaac6-ii,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aminoglycoside_o-phosphotransferase_aph6-id,aminoglycoside_o-phosphotransferase_aph6-id,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aminoglycosides_efflux_system_acrad-tolc_inner-membrane_protondrug_antiporter_acrd_rnd_type,aminoglycosides_efflux_system_acrad-tolc_inner-membrane_protondrug_antiporter_acrd_rnd_type,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ampc,ampc,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ant1,ant1,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ant1_1,ant1_1,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ant1_2,ant1_2,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__teta_1,teta_1,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__teta_2,teta_2,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__tetm,tetm,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__lysr_family_transcriptional_activator_leuo,lysr_family_transcriptional_activator_leuo,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__maca_1,maca_1,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__maca_2,maca_2,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__macrolide_export_atp-bindingpermease_protein_macb,macrolide_export_atp-bindingpermease_protein_macb,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__folp_3,folp_3,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__fosmidomycin_resistance_protein,fosmidomycin_resistance_protein,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__fusa1,fusa1,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__tetracycline_resistance_mfs_efflux_pump_tetd,tetracycline_resistance_mfs_efflux_pump_tetd,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__transcription_termination_factor_rho,transcription_termination_factor_rho,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__transcriptional_activator_gade,transcriptional_activator_gade,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__yjdb,yjdb,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__yokd,yokd,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__x_4-deoxy-4-formamido-l-arabinose-phosphoundecaprenol_deformylase_arnd_ec_3.5.1.n3,x_4-deoxy-4-formamido-l-arabinose-phosphoundecaprenol_deformylase_arnd_ec_3.5.1.n3,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__udp-n-acetylglucosamine_1-carboxyvinyltransferase_ec_2.5.1.7,udp-n-acetylglucosamine_1-carboxyvinyltransferase_ec_2.5.1.7,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ugpq,ugpq,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__uncharacterized_transporter_mdtd_of_major_facilitator_superfamily_mfs,uncharacterized_transporter_mdtd_of_major_facilitator_superfamily_mfs,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_ef-tu_mutants_conferring_resistance_to_pulvomycin,escherichia_coli_ef-tu_mutants_conferring_resistance_to_pulvomycin,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multidrug_efflux_system_emrab-omf_inner-membrane_protondrug_antiporter_emrb_mfs_type,multidrug_efflux_system_emrab-omf_inner-membrane_protondrug_antiporter_emrb_mfs_type,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multidrug_efflux_system_emrab-omf_membrane_fusion_component_emra,multidrug_efflux_system_emrab-omf_membrane_fusion_component_emra,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multidrug_efflux_system_mdtabc-tolc_inner-membrane_protondrug_antiporter_mdtb_rnd_type,multidrug_efflux_system_mdtabc-tolc_inner-membrane_protondrug_antiporter_mdtb_rnd_type,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__transcriptional_regulator_of_acrab_operon_acrr,transcriptional_regulator_of_acrab_operon_acrr,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__transcriptional_regulatory_protein_phop,transcriptional_regulatory_protein_phop,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__x_1-deoxy-d-xylulose_5-phosphate_reductoisomerase_ec_1.1.1.267,x_1-deoxy-d-xylulose_5-phosphate_reductoisomerase_ec_1.1.1.267,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ycel,ycel,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__yeeo,yeeo,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__yegm,yegm,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aac3-iie,aac3-iie,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__glpt,glpt,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__glycerophosphoryl_diester_phosphodiesterase_ec_3.1.4.46,glycerophosphoryl_diester_phosphodiesterase_ec_3.1.4.46,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__gyrb,gyrb,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__abc-type_siderophore_export_system_fused_atpase_and_permease_components,abc-type_siderophore_export_system_fused_atpase_and_permease_components,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__acra_1,acra_1,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__acrad-tolc,acrad-tolc,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__lipid_a_phosphoethanolamine_transferase_eptapmrc_ec_2.7.8.43,lipid_a_phosphoethanolamine_transferase_eptapmrc_ec_2.7.8.43,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aminoglycoside_3-phosphotransferase_ec_2.7.1.87_aph3-i,aminoglycoside_3-phosphotransferase_ec_2.7.1.87_aph3-i,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aminoglycoside_3-phosphotransferase_ec_2.7.1.95_aph3-i,aminoglycoside_3-phosphotransferase_ec_2.7.1.95_aph3-i,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aminoglycoside_n-acetyltransferase_aac3-via,aminoglycoside_n-acetyltransferase_aac3-via,0.0,0.0,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.0753,0.0753,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.0471,0.0471,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.0369,0.0369,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.0323,0.0323,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mpha,mpha,0.0265,0.0265,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mrx,mrx,0.0222,0.0222,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,0.0181,0.0181,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__ctx-m-15,ctx-m-15,0.0171,0.0171,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__sul1,sul1,0.0132,0.0132,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__dfra17,dfra17,0.013,0.013,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__ctx-m_family,ctx-m_family,0.0117,0.0117,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__aada5,aada5,0.0116,0.0116,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,0.0101,0.0101,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__teta,teta,0.0099,0.0099,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.0098,0.0098,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__catb3,catb3,0.0095,0.0095,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.0085,0.0085,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_mpha_family_macrolide_2-phosphotransferase,multispecies_mpha_family_macrolide_2-phosphotransferase,0.0078,0.0078,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__vgac,vgac,0.0077,0.0077,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,0.0071,0.0071,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mefb,mefb,0.007,0.007,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mpha_family,mpha_family,0.0067,0.0067,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__aac3-iiiiiivviviiiixx,aac3-iiiiiivviviiiixx,0.0067,0.0067,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mpha_family_macrolide_2-phosphotransferase,mpha_family_macrolide_2-phosphotransferase,0.0065,0.0065,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__tetb,tetb,0.0063,0.0063,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdtm,mdtm,0.006,0.006,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__tem_family,tem_family,0.0058,0.0058,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__aph3-ib,aph3-ib,0.0058,0.0058,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,0.0058,0.0058,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,0.0053,0.0053,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__aph3-i,aph3-i,0.0049,0.0049,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__sul2,sul2,0.0048,0.0048,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__aac6-ib10,aac6-ib10,0.0048,0.0048,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__aph6-id,aph6-id,0.0045,0.0045,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__oxa-1,oxa-1,0.0045,0.0045,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__tetr,tetr,0.0045,0.0045,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__type_b-3_chloramphenicol_o-acetyltransferase_catb3,type_b-3_chloramphenicol_o-acetyltransferase_catb3,0.0044,0.0044,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__tetc,tetc,0.0044,0.0044,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,0.0044,0.0044,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra17,multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra17,0.0042,0.0042,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__translation_elongation_factor_tu,translation_elongation_factor_tu,0.0041,0.0041,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_oxacillin-hydrolyzing_class_d_beta-lactamase_oxa-1,multispecies_oxacillin-hydrolyzing_class_d_beta-lactamase_oxa-1,0.0041,0.0041,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__escherichia_fosfomycin_resistant_uhpt,escherichia_fosfomycin_resistant_uhpt,0.0041,0.0041,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,0.0035,0.0035,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,0.0035,0.0035,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__gyra,gyra,0.0035,0.0035,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_aminoglycoside_n-acetyltransferase_aac3-iia,multispecies_aminoglycoside_n-acetyltransferase_aac3-iia,0.0035,0.0035,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__h-ns,h-ns,0.0034,0.0034,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdtg,mdtg,0.0034,0.0034,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__ef-tu,ef-tu,0.0033,0.0033,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__aada2,aada2,0.0033,0.0033,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__catb_family,catb_family,0.0032,0.0032,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__emrab-tolc,emrab-tolc,0.0032,0.0032,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__crp,crp,0.0032,0.0032,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__evgs,evgs,0.0031,0.0031,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__baca,baca,0.0031,0.0031,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdtabc-tolc,mdtabc-tolc,0.003,0.003,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__emrr,emrr,0.003,0.003,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__tem-1,tem-1,0.003,0.003,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__fluoroquinolone-acetylating_aminoglycoside_6-n-acetyltransferase_aac6-ib-cr,fluoroquinolone-acetylating_aminoglycoside_6-n-acetyltransferase_aac6-ib-cr,0.003,0.003,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mara,mara,0.003,0.003,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__dfra12,dfra12,0.003,0.003,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__acrab-tolc,acrab-tolc,0.0029,0.0029,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__acrd,acrd,0.0029,0.0029,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdtf,mdtf,0.0029,0.0029,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdtp,mdtp,0.0029,0.0029,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__evga,evga,0.0029,0.0029,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdtn,mdtn,0.0029,0.0029,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdte,mdte,0.0029,0.0029,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__emry,emry,0.0029,0.0029,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__vang,vang,0.0028,0.0028,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__acrf,acrf,0.0028,0.0028,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdtb,mdtb,0.0028,0.0028,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__acrs,acrs,0.0028,0.0028,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__gadw,gadw,0.0028,0.0028,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__acref-tolc,acref-tolc,0.0028,0.0028,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__aac3-iid,aac3-iid,0.0028,0.0028,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__kdpe,kdpe,0.0028,0.0028,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__baer,baer,0.0028,0.0028,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdto,mdto,0.0028,0.0028,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdta,mdta,0.0028,0.0028,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mura,mura,0.0027,0.0027,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__tolc,tolc,0.0027,0.0027,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__pmrf,pmrf,0.0027,0.0027,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__yoji,yoji,0.0027,0.0027,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__emrb,emrb,0.0027,0.0027,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__emrd,emrd,0.0027,0.0027,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__acre,acre,0.0027,0.0027,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__rpob,rpob,0.0027,0.0027,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdtl,mdtl,0.0027,0.0027,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__tetracycline_efflux_mfs_transporter_teta,tetracycline_efflux_mfs_transporter_teta,0.0027,0.0027,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__folp,folp,0.0027,0.0027,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__emra,emra,0.0027,0.0027,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__gyrb,gyrb,0.0026,0.0026,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__msba,msba,0.0026,0.0026,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__blaec,blaec,0.0026,0.0026,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,multispecies_quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,0.0026,0.0026,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__emrk,emrk,0.0026,0.0026,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdth,mdth,0.0026,0.0026,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__marr,marr,0.0026,0.0026,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__leuo,leuo,0.0025,0.0025,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__alr,alr,0.0025,0.0025,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__ddl,ddl,0.0025,0.0025,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__acrb,acrb,0.0025,0.0025,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__qacedelta1,qacedelta1,0.0025,0.0025,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__cpxa,cpxa,0.0025,0.0025,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__emrky-tolc,emrky-tolc,0.0024,0.0024,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__gadx,gadx,0.0024,0.0024,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdtc,mdtc,0.0024,0.0024,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__soxr,soxr,0.0024,0.0024,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__rsma,rsma,0.0023,0.0023,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__gade,gade,0.0023,0.0023,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__fola_dfr,fola_dfr,0.0023,0.0023,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_tetracycline_efflux_mfs_transporter_teta,multispecies_tetracycline_efflux_mfs_transporter_teta,0.0022,0.0022,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__parc,parc,0.0022,0.0022,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__qace,qace,0.0022,0.0022,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra17,trimethoprim-resistant_dihydrofolate_reductase_dfra17,0.0022,0.0022,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_class_a_broad-spectrum_beta-lactamase_tem-1,multispecies_class_a_broad-spectrum_beta-lactamase_tem-1,0.0022,0.0022,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__escherichia_coli_mdfa,escherichia_coli_mdfa,0.0022,0.0022,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdtef-tolc,mdtef-tolc,0.0021,0.0021,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__tetracycline_efflux_mfs_transporter_tetb,tetracycline_efflux_mfs_transporter_tetb,0.0021,0.0021,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__acrr,acrr,0.0021,0.0021,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__aminoglycoside_n-acetyltransferase_aac3-iie,aminoglycoside_n-acetyltransferase_aac3-iie,0.0021,0.0021,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__sulfonamide-resistant_dihydropteroate_synthase_sul1,sulfonamide-resistant_dihydropteroate_synthase_sul1,0.0021,0.0021,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__pare,pare,0.0021,0.0021,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-27,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-27,0.002,0.002,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__escherichia_coli_acrab-tolc_with_acrr_mutation_conferring_resistance_to_ciprofloxacin_tetracycline_and_ceftazidime,escherichia_coli_acrab-tolc_with_acrr_mutation_conferring_resistance_to_ciprofloxacin_tetracycline_and_ceftazidime,0.002,0.002,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdtd,mdtd,0.002,0.002,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__klebsiella_pneumoniae_kpne,klebsiella_pneumoniae_kpne,0.002,0.002,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__ef-g,ef-g,0.002,0.002,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__klebsiella_pneumoniae_kpnf,klebsiella_pneumoniae_kpnf,0.002,0.002,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__iso-trna,iso-trna,0.002,0.002,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__cysb,cysb,0.002,0.002,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__oxa-1_family_class_d_beta-lactamase,oxa-1_family_class_d_beta-lactamase,0.002,0.002,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__rpoc,rpoc,0.002,0.002,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__escherichia_coli_soxr_with_mutation_conferring_antibiotic_resistance,escherichia_coli_soxr_with_mutation_conferring_antibiotic_resistance,0.002,0.002,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__s12p,s12p,0.0019,0.0019,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__aph6-icaph6-id,aph6-icaph6-id,0.0019,0.0019,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__arnt,arnt,0.0019,0.0019,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__gdpd,gdpd,0.0019,0.0019,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__escherichia_fosfomycin_resistant_glpt,escherichia_fosfomycin_resistant_glpt,0.0019,0.0019,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mdtk,mdtk,0.0019,0.0019,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__macb,macb,0.0019,0.0019,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_aminoglycoside_o-phosphotransferase_aph3-ib,multispecies_aminoglycoside_o-phosphotransferase_aph3-ib,0.0019,0.0019,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__haemophilus_influenzae_pbp3_conferring_resistance_to_beta-lactam_antibiotics,haemophilus_influenzae_pbp3_conferring_resistance_to_beta-lactam_antibiotics,0.0019,0.0019,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__cpxr,cpxr,0.0019,0.0019,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__pgsa,pgsa,0.0018,0.0018,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
