antibiotic,model,feature,gene,selection_frequency,mean_rank,mean_abs_importance,mean_signed_importance
ciprofloxacin,random_forest_balanced,amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,3,3.6667,0.0339,0.0339
ciprofloxacin,random_forest_balanced,amr__mpha,mpha,3,5.3333,0.0249,0.0249
ciprofloxacin,random_forest_balanced,amr__mrx,mrx,3,5.6667,0.0237,0.0237
ciprofloxacin,random_forest_balanced,amr__ctx-m-15,ctx-m-15,3,7.3333,0.0164,0.0164
ciprofloxacin,random_forest_balanced,amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,3,7.6667,0.0171,0.0171
ciprofloxacin,random_forest_balanced,amr__dfra17,dfra17,3,9.6667,0.0138,0.0138
ciprofloxacin,random_forest_balanced,amr__aada5,aada5,3,9.6667,0.0137,0.0137
ciprofloxacin,random_forest_balanced,amr__sul1,sul1,3,10.6667,0.0128,0.0128
ciprofloxacin,random_forest_balanced,amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,3,13.3333,0.0108,0.0108
ciprofloxacin,random_forest_balanced,amr__ctx-m_family,ctx-m_family,3,14.3333,0.0106,0.0106
ciprofloxacin,random_forest_balanced,amr__catb3,catb3,3,15.0,0.0095,0.0095
ciprofloxacin,random_forest_balanced,amr__teta,teta,3,15.6667,0.0096,0.0096
ciprofloxacin,random_forest_balanced,amr__vgac,vgac,2,14.5,0.0094,0.0094
ciprofloxacin,random_forest_balanced,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,2,15.5,0.0093,0.0093
ciprofloxacin,random_forest_balanced,amr__multispecies_mpha_family_macrolide_2-phosphotransferase,multispecies_mpha_family_macrolide_2-phosphotransferase,2,15.5,0.0092,0.0092
ciprofloxacin,random_forest_balanced,amr__aac3-iiiiiivviviiiixx,aac3-iiiiiivviviiiixx,2,16.5,0.0083,0.0083
ciprofloxacin,random_forest_balanced,amr__escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,2,18.0,0.0085,0.0085
