antibiotic,model,model_label,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_resistant_mean,cv_f1_resistant_std,cv_roc_auc_mean,cv_roc_auc_std,cv_recall_resistant_mean,cv_recall_resistant_std,best_params,holdout_accuracy,holdout_balanced_accuracy,holdout_roc_auc,holdout_recall_resistant,holdout_specificity_susceptible,holdout_false_susceptible,holdout_false_resistant,selection_rule
ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado,0.847151,0.012258,0.761572,0.016625,0.921867,0.009358,0.791691,0.02453,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",0.864662,0.847745,0.918328,0.813514,0.881976,69,129,Mayor exactitud balanceada en validación cruzada interna (5 folds × 2 repeticiones)
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,0.825103,0.012872,0.707499,0.016251,0.887209,0.014198,0.729895,0.027285,"{""logisticregression__C"": 0.1, ""logisticregression__penalty"": ""l1""}",0.891502,0.829399,0.893964,0.728346,0.930451,69,74,Mayor exactitud balanceada en validación cruzada interna (5 folds × 2 repeticiones)
