feature,gene,importance,abs_importance,importance_type,antibiotic,model,model_label
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra1,trimethoprim-resistant_dihydrofolate_reductase_dfra1,6.2e-05,6.2e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__cata1cata4_family,cata1cata4_family,6e-05,6e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ndm-5,ndm-5,5.9e-05,5.9e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__bla_1,bla_1,5.9e-05,5.9e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-27,extended-spectrum_class_a_beta-lactamase_ctx-m-27,5.9e-05,5.9e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__tem-141,tem-141,5.9e-05,5.9e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__x_23s_rrna_adenine2058-n6-methyltransferase_ermb,x_23s_rrna_adenine2058-n6-methyltransferase_ermb,5.9e-05,5.9e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ftsi,ftsi,5.7e-05,5.7e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-55,extended-spectrum_class_a_beta-lactamase_ctx-m-55,5.6e-05,5.6e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__chloramphenicolflorfenicol_efflux_mfs_transporter_flor,chloramphenicolflorfenicol_efflux_mfs_transporter_flor,5.6e-05,5.6e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__yeeo,yeeo,5.5e-05,5.5e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__dfra5,dfra5,5.4e-05,5.4e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_nitrofurantoin_resistant_nfsa,escherichia_nitrofurantoin_resistant_nfsa,5e-05,5e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mcr-1,mcr-1,4.8e-05,4.8e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__rpsj,rpsj,4.6e-05,4.6e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ec-13,ec-13,4.6e-05,4.6e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__arnf,arnf,4.6e-05,4.6e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__brucella_suis_mprf,brucella_suis_mprf,4.5e-05,4.5e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__envr,envr,4.3e-05,4.3e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ybht,ybht,4.2e-05,4.2e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__broad-spectrum_class_a_beta-lactamase_shv-1,broad-spectrum_class_a_beta-lactamase_shv-1,4.2e-05,4.2e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__cmla6,cmla6,4e-05,4e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__yuso,yuso,4e-05,4e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__tetracycline_efflux_mfs_transporter_tetd,tetracycline_efflux_mfs_transporter_tetd,3.9e-05,3.9e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__teta_2,teta_2,3.9e-05,3.9e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__folp_3,folp_3,3.8e-05,3.8e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__sat-2,sat-2,3.7e-05,3.7e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__quinolone_resistance_pentapeptide_repeat_protein_qnrs1,quinolone_resistance_pentapeptide_repeat_protein_qnrs1,3.5e-05,3.5e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_subclass_b1_metallo-beta-lactamase_ndm-5,multispecies_subclass_b1_metallo-beta-lactamase_ndm-5,3.3e-05,3.3e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ebr,ebr,3.3e-05,3.3e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra7,multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra7,3.3e-05,3.3e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra5,multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra5,3.2e-05,3.2e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdtc_2,mdtc_2,3e-05,3e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ndm_family,ndm_family,3e-05,3e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_quinolone_resistance_pentapeptide_repeat_protein_qnrs1,multispecies_quinolone_resistance_pentapeptide_repeat_protein_qnrs1,2.9e-05,2.9e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ftsi_1,ftsi_1,2.9e-05,2.9e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_aminoglycoside_nucleotidyltransferase_ant2-ia,multispecies_aminoglycoside_nucleotidyltransferase_ant2-ia,2.7e-05,2.7e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__dadx,dadx,2.6e-05,2.6e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,2.6e-05,2.6e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__yfbw,yfbw,2.6e-05,2.6e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__acrb_1,acrb_1,2.6e-05,2.6e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__major_facilitator_superfamily_transporter._multidrug_resistance_efflux_pump.,major_facilitator_superfamily_transporter._multidrug_resistance_efflux_pump.,2.6e-05,2.6e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__epta_1,epta_1,2.5e-05,2.5e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra36,trimethoprim-resistant_dihydrofolate_reductase_dfra36,2.4e-05,2.4e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_streptothricin_n-acetyltransferase_sat1,multispecies_streptothricin_n-acetyltransferase_sat1,2.2e-05,2.2e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_aztreonamcefiderocolcephalosporin_resistant_ftsi,escherichia_aztreonamcefiderocolcephalosporin_resistant_ftsi,2.1e-05,2.1e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__fosa4,fosa4,2.1e-05,2.1e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__shv_family,shv_family,2.1e-05,2.1e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ddlb,ddlb,2e-05,2e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__fola_2,fola_2,2e-05,2e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__cat,cat,1.9e-05,1.9e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__fabf,fabf,1.9e-05,1.9e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__tetm,tetm,1.8e-05,1.8e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__acrb_3,acrb_3,1.8e-05,1.8e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,1.8e-05,1.8e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__sat-1,sat-1,1.7e-05,1.7e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_colistin_resistant_pmrb,escherichia_colistin_resistant_pmrb,1.7e-05,1.7e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
