antibiotic,feature,n_present,prevalence_pct
ciprofloxacin,amr__aminoglycoside_o-phosphotransferase_aph3-iiia,1,0.014
ciprofloxacin,amr__aminoglycoside_o-phosphotransferase_aph4-ia,2,0.027
ciprofloxacin,amr__aminoglycoside_o-phosphotransferase_aph6-id,303,4.143
ciprofloxacin,amr__aminoglycoside_o-phosphotransferase_which_modifies_aminoglycosides_by_phosphorylation.,2,0.027
ciprofloxacin,amr__aminoglycosides_efflux_system_acrad-tolc_inner-membrane_protondrug_antiporter_acrd_rnd_type,428,5.853
ciprofloxacin,amr__ampc,86,1.176
ciprofloxacin,amr__ampc_1,2,0.027
ciprofloxacin,amr__ampc_2,6,0.082
ciprofloxacin,amr__amra,1,0.014
ciprofloxacin,amr__ant1,6,0.082
ciprofloxacin,amr__ant1_1,7,0.096
ciprofloxacin,amr__ant1_2,11,0.15
ciprofloxacin,amr__ant1_3,3,0.041
ciprofloxacin,amr__ant1_5,1,0.014
ciprofloxacin,amr__ant1_7,1,0.014
ciprofloxacin,amr__ant2-ia,9,0.123
ciprofloxacin,amr__ant3-i_family_aminoglycoside_nucleotidyltransferase,0,0.0
ciprofloxacin,amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada,2,0.027
ciprofloxacin,amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada1,153,2.092
ciprofloxacin,amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada12,1,0.014
ciprofloxacin,amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada16,2,0.027
ciprofloxacin,amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada2,61,0.834
ciprofloxacin,amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada22,3,0.041
ciprofloxacin,amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada25,6,0.082
ciprofloxacin,amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,142,1.942
ciprofloxacin,amr__ant4-ia,1,0.014
ciprofloxacin,amr__ant9-i,1,0.014
ciprofloxacin,amr__ant9-ia,1,0.014
ciprofloxacin,amr__aph2,1,0.014
ciprofloxacin,amr__aph3-i,292,3.993
ciprofloxacin,amr__aph3-ia,55,0.752
ciprofloxacin,amr__aph3-ib,534,7.302
ciprofloxacin,amr__aph3-iia,2,0.027
ciprofloxacin,amr__aph3-iiaph3-xv,4,0.055
ciprofloxacin,amr__aph3-vi,0,0.0
ciprofloxacin,amr__aph3-vi_family_aminoglycoside_o-phosphotransferase,1,0.014
ciprofloxacin,amr__aph3-via,0,0.0
ciprofloxacin,amr__aph4-i,2,0.027
ciprofloxacin,amr__aph4-ia,3,0.041
ciprofloxacin,amr__aph6-i,6,0.082
ciprofloxacin,amr__aph6-ic,1,0.014
ciprofloxacin,amr__aph6-icaph6-id,244,3.337
ciprofloxacin,amr__aph6-id,552,7.548
ciprofloxacin,amr__arma,5,0.068
ciprofloxacin,amr__arna,880,12.033
ciprofloxacin,amr__arnb,1,0.014
ciprofloxacin,amr__arnc,5,0.068
ciprofloxacin,amr__arnd,32,0.438
ciprofloxacin,amr__arnf,28,0.383
ciprofloxacin,amr__arnt,1087,14.864
ciprofloxacin,amr__arr-2,11,0.15
ciprofloxacin,amr__arr-3,2,0.027
ciprofloxacin,amr__asma_protein,1,0.014
ciprofloxacin,amr__baca,1737,23.752
ciprofloxacin,amr__bacillus_subtilis_mprf,0,0.0
ciprofloxacin,amr__baer,1786,24.422
ciprofloxacin,amr__baer_1,0,0.0
ciprofloxacin,amr__baes,871,11.91
ciprofloxacin,amr__basr,22,0.301
ciprofloxacin,amr__bass,3,0.041
ciprofloxacin,amr__bcr,26,0.356
ciprofloxacin,amr__bcr_1,7,0.096
ciprofloxacin,amr__bcr_2,6,0.082
ciprofloxacin,amr__bcr_3,3,0.041
ciprofloxacin,amr__bcrc,762,10.42
ciprofloxacin,amr__bepd,7,0.096
ciprofloxacin,amr__bifunctional_enzyme_that_catalyzes_the_oxidative_decarboxylation_of_udp-glucuronic_acid_udp-glcua_to_udp-4-keto-arabinos,3,0.041
ciprofloxacin,amr__bifunctional_putative_esterase_estxstreptothricin_n-acetyltransferase_sat1,8,0.109
ciprofloxacin,amr__bla,52,0.711
ciprofloxacin,amr__bla_1,11,0.15
ciprofloxacin,amr__bla_2,17,0.232
ciprofloxacin,amr__blactx-m,1,0.014
ciprofloxacin,amr__blaec,26,0.356
ciprofloxacin,amr__blaec_family,798,10.912
ciprofloxacin,amr__blat-6,2,0.027
ciprofloxacin,amr__blatem,1,0.014
ciprofloxacin,amr__bleomycin_binding_protein,5,0.068
