antibiotic,feature,n_present,prevalence_pct
ciprofloxacin,amr__evga,1803,24.655
ciprofloxacin,amr__evgs,1850,25.297
ciprofloxacin,amr__evgs_2,1,0.014
ciprofloxacin,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-1,5,0.068
ciprofloxacin,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,18,0.246
ciprofloxacin,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,96,1.313
ciprofloxacin,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-2,2,0.027
ciprofloxacin,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-27,13,0.178
ciprofloxacin,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-55,14,0.191
ciprofloxacin,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-65,1,0.014
ciprofloxacin,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-9,1,0.014
ciprofloxacin,amr__extended-spectrum_class_a_beta-lactamase_sfo-1,1,0.014
ciprofloxacin,amr__extended-spectrum_class_a_beta-lactamase_shv-12,2,0.027
ciprofloxacin,amr__extended-spectrum_class_a_beta-lactamase_shv-2,1,0.014
ciprofloxacin,amr__extended-spectrum_class_a_beta-lactamase_shv-5,1,0.014
ciprofloxacin,amr__extended-spectrum_class_a_beta-lactamase_tem-12,1,0.014
ciprofloxacin,amr__extended-spectrum_class_a_beta-lactamase_tem-9,1,0.014
ciprofloxacin,amr__extended-spectrum_class_c_beta-lactamase_cmy-2,26,0.356
ciprofloxacin,amr__extended-spectrum_class_c_beta-lactamase_cmy-42,5,0.068
ciprofloxacin,amr__extended-spectrum_class_c_beta-lactamase_dha-1,1,0.014
ciprofloxacin,amr__fabf,31,0.424
ciprofloxacin,amr__fabf_2,2,0.027
ciprofloxacin,amr__fabf_4,1,0.014
ciprofloxacin,amr__fabi,27,0.369
ciprofloxacin,amr__fabv,2,0.027
ciprofloxacin,amr__fixx,1,0.014
ciprofloxacin,amr__flor,69,0.944
ciprofloxacin,amr__flor_family,38,0.52
ciprofloxacin,amr__fluoroquinolone-acetylating_aminoglycoside_6-n-acetyltransferase_aac6-ib-cr,68,0.93
ciprofloxacin,amr__fola,31,0.424
ciprofloxacin,amr__fola_1,2,0.027
ciprofloxacin,amr__fola_2,14,0.191
ciprofloxacin,amr__fola_dfr,1063,14.536
ciprofloxacin,amr__folp,1599,21.865
ciprofloxacin,amr__folp1,1,0.014
ciprofloxacin,amr__folp2,47,0.643
ciprofloxacin,amr__folp_1,1,0.014
ciprofloxacin,amr__folp_2,6,0.082
ciprofloxacin,amr__folp_3,7,0.096
ciprofloxacin,amr__folp_4,2,0.027
ciprofloxacin,amr__folp_5,3,0.041
ciprofloxacin,amr__folp_7,1,0.014
ciprofloxacin,amr__fonasfo_family,1,0.014
ciprofloxacin,amr__fosa,0,0.0
ciprofloxacin,amr__fosa3,1,0.014
ciprofloxacin,amr__fosa4,37,0.506
ciprofloxacin,amr__fosa7.5,2,0.027
ciprofloxacin,amr__fosa8,1,0.014
ciprofloxacin,amr__fosfomycin_resistance_glutathione_transferase_fosa4,1,0.014
ciprofloxacin,amr__fosfomycin_resistance_glutathione_transferase_fosa7.5,2,0.027
ciprofloxacin,amr__fosmidomycin_resistance_protein,5,0.068
ciprofloxacin,amr__fri-1,1,0.014
ciprofloxacin,amr__ftsi,35,0.479
ciprofloxacin,amr__ftsi_1,5,0.068
ciprofloxacin,amr__ftsi_2,1,0.014
ciprofloxacin,amr__fusa,2,0.027
ciprofloxacin,amr__fusa1,33,0.451
ciprofloxacin,amr__fyua,603,8.246
ciprofloxacin,amr__gade,1503,20.552
ciprofloxacin,amr__gadw,1594,21.797
ciprofloxacin,amr__gadw_1,16,0.219
ciprofloxacin,amr__gadw_2,18,0.246
ciprofloxacin,amr__gadw_3,8,0.109
ciprofloxacin,amr__gadw_4,1,0.014
ciprofloxacin,amr__gadx,1778,24.313
ciprofloxacin,amr__gdpd,795,10.871
ciprofloxacin,amr__gidb,825,11.281
ciprofloxacin,amr__glpt,937,12.813
ciprofloxacin,amr__glpt_1,2,0.027
ciprofloxacin,amr__glycerol-3-phosphate_transporter,220,3.008
ciprofloxacin,amr__glycerophosphoryl_diester_phosphodiesterase_ec_3.1.4.46,219,2.995
ciprofloxacin,amr__gyra,1581,21.619
ciprofloxacin,amr__gyra_2,1,0.014
ciprofloxacin,amr__gyrb,1600,21.879
ciprofloxacin,amr__h-ns,2458,33.611
ciprofloxacin,amr__haemophilus_influenzae_pbp3_conferring_resistance_to_beta-lactam_antibiotics,1011,13.825
ciprofloxacin,amr__hexose_phosphate_transport_protein_uhpt,232,3.172
ciprofloxacin,amr__hns,54,0.738
ciprofloxacin,amr__hns_1,2,0.027
ciprofloxacin,amr__hns_2,5,0.068
ciprofloxacin,amr__hybrid_sensory_histidine_kinase_in_two-component_regulatory_system_with_evga,221,3.022
ciprofloxacin,amr__hydrogen_peroxide-inducible_genes_activator_oxyr,224,3.063
ciprofloxacin,amr__hypothetical_protein,84,1.149
ciprofloxacin,amr__icr-mo,1,0.014
ciprofloxacin,amr__iles,28,0.383
ciprofloxacin,amr__imp-66,4,0.055
ciprofloxacin,amr__inha_fabi,815,11.145
ciprofloxacin,amr__inhibitor-resistant_broad-spectrum_class_a_beta-lactamase_tem-30,2,0.027
ciprofloxacin,amr__inhibitor-resistant_broad-spectrum_class_a_beta-lactamase_tem-33,2,0.027
ciprofloxacin,amr__inhibitor-resistant_broad-spectrum_class_a_beta-lactamase_tem-35,1,0.014
ciprofloxacin,amr__inhibitor-resistant_broad-spectrum_class_a_beta-lactamase_tem-37,1,0.014
ciprofloxacin,amr__inhibitor-resistant_broad-spectrum_class_a_beta-lactamase_tem-39,1,0.014
ciprofloxacin,amr__inhibitor-resistant_broad-spectrum_class_a_beta-lactamase_tem-40,2,0.027
ciprofloxacin,amr__inhibitor-resistant_broad-spectrum_class_a_beta-lactamase_tem-79,1,0.014
ciprofloxacin,amr__inhibitor-resistant_class_a_broad-spectrum_beta-lactamase_tem-185,1,0.014
ciprofloxacin,amr__inhibitor-resistant_class_a_broad-spectrum_beta-lactamase_tem-33,4,0.055
ciprofloxacin,amr__inhibitor-resistant_class_a_broad-spectrum_beta-lactamase_tem-78,1,0.014
ciprofloxacin,amr__inhibitor-resistant_class_a_broad-spectrum_beta-lactamase_tem-79,1,0.014
ciprofloxacin,amr__inhibitor-resistant_class_a_extended-spectrum_beta-lactamase_tem-125,1,0.014
ciprofloxacin,amr__inner_membrane_component_mdtn_of_tripartite_multidrug_resistance_system,206,2.817
ciprofloxacin,amr__iron_aquisition_outermembrane_yersiniabactin_receptor_fyuapsnpesticin_receptor_outer_membrane_receptor_for_ferric_sidero,200,2.735
ciprofloxacin,amr__iso-trna,810,11.076
ciprofloxacin,amr__isoleucyl-trna_synthetase_ec_6.1.1.5,216,2.954
ciprofloxacin,amr__kasa,810,11.076
ciprofloxacin,amr__katg,851,11.637
ciprofloxacin,amr__katg_2,1,0.014
ciprofloxacin,amr__kdpe,1735,23.725
ciprofloxacin,amr__klebsiella_pneumoniae_kpne,1018,13.92
ciprofloxacin,amr__klebsiella_pneumoniae_kpnf,1059,14.481
ciprofloxacin,amr__klebsiella_pneumoniae_kpnh,2,0.027
ciprofloxacin,amr__klebsiella_pneumoniae_ompk37,2,0.027
ciprofloxacin,amr__kpc-2,2,0.027
ciprofloxacin,amr__kpc-3,5,0.068
ciprofloxacin,amr__kpc_family,1,0.014
ciprofloxacin,amr__ksga,0,0.0
ciprofloxacin,amr__ksga_2,1,0.014
ciprofloxacin,amr__leuo,1727,23.615
ciprofloxacin,amr__leuo_1,40,0.547
ciprofloxacin,amr__leuo_2,15,0.205
ciprofloxacin,amr__leuo_3,1,0.014
ciprofloxacin,amr__lhk-5,0,0.0
ciprofloxacin,amr__lincosamide_nucleotidyltransferase_lnub,2,0.027
ciprofloxacin,amr__lincosamide_nucleotidyltransferase_lnuf,9,0.123
ciprofloxacin,amr__lincosamide_nucleotidyltransferase_lnuflnug,1,0.014
ciprofloxacin,amr__lincosamide_nucleotidyltransferase_lnug,2,0.027
ciprofloxacin,amr__ling,4,0.055
ciprofloxacin,amr__lipid_a_export_permeaseatp-binding_protein_msba,227,3.104
ciprofloxacin,amr__lipid_a_phosphoethanolamine_transferase_eptapmrc_ec_2.7.8.43,387,5.292
ciprofloxacin,amr__lipid_a_phosphoethanolamine_transferase_putative,5,0.068
ciprofloxacin,amr__lipopolysaccharide_core_heptoseii-phosphate_phosphatase_polymyxin_resistance_protein_pmrg,261,3.569
ciprofloxacin,amr__lnub,4,0.055
ciprofloxacin,amr__lnuf,1,0.014
ciprofloxacin,amr__lnuflnug,4,0.055
ciprofloxacin,amr__lnug,3,0.041
ciprofloxacin,amr__lpea,3,0.041
ciprofloxacin,amr__lsu_ribosomal_protein_l6p_l9e,256,3.501
ciprofloxacin,amr__lysr_family_transcriptional_activator_leuo,218,2.981
ciprofloxacin,amr__maca,909,12.43
ciprofloxacin,amr__maca_1,11,0.15
ciprofloxacin,amr__maca_2,5,0.068
ciprofloxacin,amr__maca_3,2,0.027
ciprofloxacin,amr__macb,898,12.28
ciprofloxacin,amr__macb_1,1,0.014
ciprofloxacin,amr__macb_2,1,0.014
ciprofloxacin,amr__macrolide-specific_efflux_protein_maca,255,3.487
ciprofloxacin,amr__macrolide_2-phosphotransferase_mpha_family,55,0.752
ciprofloxacin,amr__macrolide_2-phosphotransferase_mphb_family,5,0.068
ciprofloxacin,amr__macrolide_efflux_mfs_transporter_mefb,5,0.068
ciprofloxacin,amr__macrolide_efflux_mfs_transporter_mefc,1,0.014
ciprofloxacin,amr__macrolide_export_atp-bindingpermease_protein_macb,290,3.966
ciprofloxacin,amr__macrolide_hydrolase_estt,1,0.014
ciprofloxacin,amr__macrolide_phosphotransferase,2,0.027
ciprofloxacin,amr__macrolide_resistance_mfs_efflux_pump_mefb,1,0.014
ciprofloxacin,amr__major_facilitator_superfamily_transporter._multidrug_resistance_efflux_pump.,5,0.068
ciprofloxacin,amr__major_facilitator_superfamily_transporter_chloramphenicol_efflux_pump.,1,0.014
ciprofloxacin,amr__major_facilitator_superfamily_transporter_tetracycline_efflux_pump.,1,0.014
ciprofloxacin,amr__mara,2322,31.752
ciprofloxacin,amr__mara_1,5,0.068
ciprofloxacin,amr__mara_2,3,0.041
ciprofloxacin,amr__marb,857,11.719
ciprofloxacin,amr__marr,1651,22.576
ciprofloxacin,amr__marr_1,2,0.027
ciprofloxacin,amr__marr_2,5,0.068
ciprofloxacin,amr__mcr-1,14,0.191
ciprofloxacin,amr__mcr-1.1,9,0.123
ciprofloxacin,amr__mcr-1.2,1,0.014
ciprofloxacin,amr__mcr-3.5,1,0.014
ciprofloxacin,amr__mcr-4.6,1,0.014
ciprofloxacin,amr__mdea,16,0.219
ciprofloxacin,amr__mdfa,854,11.678
ciprofloxacin,amr__mdfacmr,788,10.775
ciprofloxacin,amr__mdta,1717,23.479
ciprofloxacin,amr__mdtabc-tolc,2139,29.249
ciprofloxacin,amr__mdtb,1790,24.477
ciprofloxacin,amr__mdtc,1801,24.627
ciprofloxacin,amr__mdtc_1,8,0.109
ciprofloxacin,amr__mdtc_2,8,0.109
ciprofloxacin,amr__mdtd,824,11.268
ciprofloxacin,amr__mdte,1792,24.504
ciprofloxacin,amr__mdte_2,1,0.014
ciprofloxacin,amr__mdtef-tolc,1482,20.265
ciprofloxacin,amr__mdtf,1735,23.725
ciprofloxacin,amr__mdtg,1823,24.928
ciprofloxacin,amr__mdtg_2,2,0.027
ciprofloxacin,amr__mdth,1794,24.532
ciprofloxacin,amr__mdth_1,1,0.014
ciprofloxacin,amr__mdti,44,0.602
ciprofloxacin,amr__mdtj,48,0.656
ciprofloxacin,amr__mdtk,840,11.486
ciprofloxacin,amr__mdtl,1603,21.92
ciprofloxacin,amr__mdtm,1627,22.248
ciprofloxacin,amr__mdtn,1692,23.137
ciprofloxacin,amr__mdto,1788,24.45
ciprofloxacin,amr__mdto_1,4,0.055
ciprofloxacin,amr__mdto_2,4,0.055
ciprofloxacin,amr__mdtp,1740,23.793
ciprofloxacin,amr__mdtp_1,16,0.219
ciprofloxacin,amr__mdtp_2,40,0.547
ciprofloxacin,amr__mdtp_3,1,0.014
ciprofloxacin,amr__mdtq,1,0.014
ciprofloxacin,amr__mefb,72,0.985
ciprofloxacin,amr__mefc,1,0.014
ciprofloxacin,amr__membrane_fusion_component_mdto_of_tripartite_multidrug_resistance_system,239,3.268
ciprofloxacin,amr__mepa,1,0.014
ciprofloxacin,amr__mepr,1,0.014
ciprofloxacin,amr__mexab-oprm,178,2.434
ciprofloxacin,amr__mfd,890,12.17
ciprofloxacin,amr__mgrb,789,10.789
ciprofloxacin,amr__morganella_morganii_gyrb_conferring_resistance_to_fluoroquinolones,1,0.014
ciprofloxacin,amr__mpha,351,4.8
ciprofloxacin,amr__mpha_family,163,2.229
ciprofloxacin,amr__mpha_family_macrolide_2-phosphotransferase,185,2.53
ciprofloxacin,amr__mphb,17,0.232
ciprofloxacin,amr__mphb_family,5,0.068
ciprofloxacin,amr__mphb_family_macrolide_2-phosphotransferase,7,0.096
ciprofloxacin,amr__mphe,1,0.014
ciprofloxacin,amr__mphe_family_macrolide_2-phosphotransferase,3,0.041
ciprofloxacin,amr__mphemphg_family,4,0.055
ciprofloxacin,amr__mphg,4,0.055
ciprofloxacin,amr__mpra,52,0.711
ciprofloxacin,amr__mrx,340,4.649
ciprofloxacin,amr__msba,1775,24.272
ciprofloxacin,amr__msba_1,4,0.055
ciprofloxacin,amr__msre,6,0.082
ciprofloxacin,amr__multidrug_efflux_pump_emrd_of_mfs_type,377,5.155
ciprofloxacin,amr__multidrug_efflux_pump_mdfacmr_of_mfs_type_broad_spectrum,423,5.784
ciprofloxacin,amr__multidrug_efflux_pump_mdtl_of_mfs_type,427,5.839
ciprofloxacin,amr__multidrug_efflux_pump_mdtm_of_mfs_type,221,3.022
ciprofloxacin,amr__multidrug_efflux_rnd_transporter_permease_subunit_oqxb,1,0.014
ciprofloxacin,amr__multidrug_efflux_smr_transporter_smr,0,0.0
ciprofloxacin,amr__multidrug_efflux_system_acrab-tolc_inner-membrane_protondrug_antiporter_acrb_rnd_type,389,5.319
ciprofloxacin,amr__multidrug_efflux_system_acrab-tolc_membrane_fusion_component_acra,411,5.62
ciprofloxacin,amr__multidrug_efflux_system_acref-tolc_inner-membrane_protondrug_antiporter_acrf_rnd_type,418,5.716
ciprofloxacin,amr__multidrug_efflux_system_acref-tolc_membrane_fusion_component_acre,422,5.771
ciprofloxacin,amr__multidrug_efflux_system_emrab-omf_inner-membrane_protondrug_antiporter_emrb_mfs_type,409,5.593
ciprofloxacin,amr__multidrug_efflux_system_emrab-omf_membrane_fusion_component_emra,414,5.661
ciprofloxacin,amr__multidrug_efflux_system_emrky-tolc_inner-membrane_protondrug_antiporter_emry_mfs_type,419,5.73
ciprofloxacin,amr__multidrug_efflux_system_emrky-tolc_membrane_fusion_component_emrk,411,5.62
ciprofloxacin,amr__multidrug_efflux_system_inner_membrane_protondrug_antiporter_rnd_type_mexb_of_mexab-oprm,47,0.643
ciprofloxacin,amr__multidrug_efflux_system_mdtabc-tolc_inner-membrane_protondrug_antiporter_mdtb_rnd_type,411,5.62
ciprofloxacin,amr__multidrug_efflux_system_mdtabc-tolc_inner-membrane_protondrug_antiporter_mdtc_rnd_type,383,5.237
ciprofloxacin,amr__multidrug_efflux_system_mdtabc-tolc_membrane_fusion_component_mdta,427,5.839
ciprofloxacin,amr__multidrug_efflux_system_mdtef-tolc_inner-membrane_protondrug_antiporter_mdtf_rnd_type,427,5.839
ciprofloxacin,amr__multidrug_efflux_system_mdtef-tolc_membrane_fusion_component_mdte,406,5.552
ciprofloxacin,amr__multidrug_efflux_transporter_mdtknorm_mate_family,1,0.014
ciprofloxacin,amr__multidrug_resistance_efflux_pump.,2,0.027
ciprofloxacin,amr__multidrug_resistance_outer_membrane_protein_mdtp,191,2.612
ciprofloxacin,amr__multidrug_resistance_protein_mdtg,209,2.858
ciprofloxacin,amr__multidrug_resistance_protein_mdth,228,3.118
ciprofloxacin,amr__multidrug_resistance_regulator_emrr_mpra,421,5.757
ciprofloxacin,amr__multidrug_resistance_transporter_bicyclomycin_resistance_protein_bcr-1,256,3.501
ciprofloxacin,amr__multiple_antibiotic_resistance_protein_mara,396,5.415
ciprofloxacin,amr__multiple_antibiotic_resistance_protein_marb,229,3.131
ciprofloxacin,amr__multiple_antibiotic_resistance_protein_marr,415,5.675
ciprofloxacin,amr__multispecies_16s_rrna_guanine1405-n7-methyltransferase_rmtb1,15,0.205
ciprofloxacin,amr__multispecies_23s_rrna_adenine2058-n6-methyltransferase_ermb,22,0.301
ciprofloxacin,amr__multispecies_aac3-ii_family_aminoglycoside_n-acetyltransferase,1,0.014
ciprofloxacin,amr__multispecies_aac6-ib_family_aminoglycoside_6-n-acetyltransferase,1,0.014
ciprofloxacin,amr__multispecies_abc-f_type_ribosomal_protection_protein_msre,0,0.0
ciprofloxacin,amr__multispecies_aminoglycoside_n-acetyltransferase_aac3-iia,65,0.889
ciprofloxacin,amr__multispecies_aminoglycoside_n-acetyltransferase_aac3-iid,54,0.738
ciprofloxacin,amr__multispecies_aminoglycoside_n-acetyltransferase_aac3-iv,3,0.041
ciprofloxacin,amr__multispecies_aminoglycoside_n-acetyltransferase_aac6-im,1,0.014
ciprofloxacin,amr__multispecies_aminoglycoside_nucleotidyltransferase_ant2-ia,10,0.137
ciprofloxacin,amr__multispecies_aminoglycoside_nucleotidyltransferase_ant9-ia,1,0.014
ciprofloxacin,amr__multispecies_aminoglycoside_o-phosphotransferase_aph3-ia,19,0.26
ciprofloxacin,amr__multispecies_aminoglycoside_o-phosphotransferase_aph3-ib,293,4.007
ciprofloxacin,amr__multispecies_aminoglycoside_o-phosphotransferase_aph3-iia,4,0.055
ciprofloxacin,amr__multispecies_aminoglycoside_o-phosphotransferase_aph3-iiia,1,0.014
ciprofloxacin,amr__multispecies_aminoglycoside_o-phosphotransferase_aph3-vib,0,0.0
ciprofloxacin,amr__multispecies_aminoglycoside_o-phosphotransferase_aph4-ia,0,0.0
ciprofloxacin,amr__multispecies_aminoglycoside_o-phosphotransferase_aph6-id,300,4.102
ciprofloxacin,amr__multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada1,139,1.901
ciprofloxacin,amr__multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada16,2,0.027
ciprofloxacin,amr__multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada2,54,0.738
ciprofloxacin,amr__multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada22,4,0.055
ciprofloxacin,amr__multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada25,2,0.027
ciprofloxacin,amr__multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,137,1.873
ciprofloxacin,amr__multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada7,0,0.0
ciprofloxacin,amr__multispecies_ant3_family_aminoglycoside_nucleotidyltransferase,9,0.123
ciprofloxacin,amr__multispecies_arma_family_16s_rrna_guanine1405-n7-methyltransferase,1,0.014
ciprofloxacin,amr__multispecies_blaec_family_class_c_beta-lactamase,57,0.779
ciprofloxacin,amr__multispecies_bleomycin_binding_protein,3,0.041
ciprofloxacin,amr__multispecies_bleomycin_binding_protein_ble-mbl,10,0.137
ciprofloxacin,amr__multispecies_bleomycin_binding_protein_blmt,2,0.027
ciprofloxacin,amr__multispecies_carbapenem-hydrolyzing_class_a_beta-lactamase_kpc-2,1,0.014
ciprofloxacin,amr__multispecies_carbapenem-hydrolyzing_class_a_beta-lactamase_kpc-4,1,0.014
ciprofloxacin,amr__multispecies_carbapenem-hydrolyzing_class_d_beta-lactamase_oxa-48,0,0.0
ciprofloxacin,amr__multispecies_cephalosporin-hydrolyzing_class_c_beta-lactamase_ec-5,580,7.931
ciprofloxacin,amr__multispecies_chloramphenicol_efflux_mfs_transporter_cmla1,22,0.301
ciprofloxacin,amr__multispecies_chloramphenicol_efflux_mfs_transporter_cmla5,2,0.027
ciprofloxacin,amr__multispecies_chloramphenicol_efflux_mfs_transporter_cmla6,1,0.014
ciprofloxacin,amr__multispecies_chloramphenicolflorfenicol_efflux_mfs_transporter_flor,20,0.273
ciprofloxacin,amr__multispecies_class_a_beta-lactamase_tem-156,173,2.366
ciprofloxacin,amr__multispecies_class_a_beta-lactamase_tem-176,2,0.027
ciprofloxacin,amr__multispecies_class_a_broad-spectrum_beta-lactamase_okp-b-1,1,0.014
ciprofloxacin,amr__multispecies_class_a_broad-spectrum_beta-lactamase_shv-1,11,0.15
ciprofloxacin,amr__multispecies_class_a_broad-spectrum_beta-lactamase_tem-1,407,5.565
ciprofloxacin,amr__multispecies_class_a_broad-spectrum_beta-lactamase_tem-116,10,0.137
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-1,4,0.055
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,31,0.424
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,110,1.504
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-2,2,0.027
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-24,0,0.0
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-27,20,0.273
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-32,2,0.027
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-55,10,0.137
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-9,1,0.014
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_sfo-1,2,0.027
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_shv-12,6,0.082
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_shv-2,1,0.014
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_shv-2a,1,0.014
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_tem-12,1,0.014
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_tem-19,1,0.014
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_tem-52,1,0.014
ciprofloxacin,amr__multispecies_class_c_beta-lactamase_cmy-2,40,0.547
ciprofloxacin,amr__multispecies_class_c_beta-lactamase_cmy-4,0,0.0
ciprofloxacin,amr__multispecies_class_c_beta-lactamase_cmy-6,1,0.014
ciprofloxacin,amr__multispecies_class_c_beta-lactamase_dha-1,0,0.0
ciprofloxacin,amr__multispecies_erea_family_erythromycin_esterase,2,0.027
ciprofloxacin,amr__multispecies_fosa_family_fosfomycin_resistance_glutathione_transferase,1,0.014
ciprofloxacin,amr__multispecies_fosfomycin_resistance_glutathione_transferase_fosa4,1,0.014
ciprofloxacin,amr__multispecies_fosfomycin_resistance_glutathione_transferase_fosa5,1,0.014
ciprofloxacin,amr__multispecies_inhibitor-resistant_class_a_broad-spectrum_beta-lactamase_tem-30,3,0.041
ciprofloxacin,amr__multispecies_inhibitor-resistant_class_a_broad-spectrum_beta-lactamase_tem-40,6,0.082
ciprofloxacin,amr__multispecies_lincosamide_nucleotidyltransferase_lnuf,6,0.082
ciprofloxacin,amr__multispecies_lincosamide_nucleotidyltransferase_lnug,4,0.055
ciprofloxacin,amr__multispecies_macrolide_efflux_mfs_transporter_mefb,23,0.315
ciprofloxacin,amr__multispecies_mpha_family_macrolide_2-phosphotransferase,191,2.612
ciprofloxacin,amr__multispecies_mphb_family_macrolide_2-phosphotransferase,15,0.205
ciprofloxacin,amr__multispecies_mphe_family_macrolide_2-phosphotransferase,3,0.041
ciprofloxacin,amr__multispecies_multidrug_efflux_rnd_transporter_permease_subunit_oqxb,1,0.014
ciprofloxacin,amr__multispecies_nad--rifampin_adp-ribosyltransferase_arr-2,5,0.068
ciprofloxacin,amr__multispecies_nad--rifampin_adp-ribosyltransferase_arr-3,3,0.041
ciprofloxacin,amr__multispecies_oxa-48_family_carbapenem-hydrolyzing_class_d_beta-lactamase_oxa-181,2,0.027
ciprofloxacin,amr__multispecies_oxa-48_family_carbapenem-hydrolyzing_class_d_beta-lactamase_oxa-244,0,0.0
ciprofloxacin,amr__multispecies_oxacillin-hydrolyzing_class_d_beta-lactamase_oxa-1,88,1.203
ciprofloxacin,amr__multispecies_oxacillin-hydrolyzing_class_d_beta-lactamase_oxa-9,3,0.041
ciprofloxacin,amr__multispecies_phosphoethanolamine--lipid_a_transferase_mcr-1,9,0.123
ciprofloxacin,amr__multispecies_pse_family_carbenicillin-hydrolyzing_class_a_beta-lactamase_carb-2,3,0.041
ciprofloxacin,amr__multispecies_quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,288,3.938
ciprofloxacin,amr__multispecies_quaternary_ammonium_compound_efflux_smr_transporter_qacf,0,0.0
ciprofloxacin,amr__multispecies_quaternary_ammonium_compound_efflux_smr_transporter_qacl,29,0.397
ciprofloxacin,amr__multispecies_quinolone_resistance_pentapeptide_repeat_protein_qnrb1,1,0.014
ciprofloxacin,amr__multispecies_quinolone_resistance_pentapeptide_repeat_protein_qnrb19,2,0.027
ciprofloxacin,amr__multispecies_quinolone_resistance_pentapeptide_repeat_protein_qnrb4,2,0.027
ciprofloxacin,amr__multispecies_quinolone_resistance_pentapeptide_repeat_protein_qnrd1,1,0.014
ciprofloxacin,amr__multispecies_quinolone_resistance_pentapeptide_repeat_protein_qnrs1,25,0.342
ciprofloxacin,amr__multispecies_rmtc_family_16s_rrna_guanine1405-n7-methyltransferase,1,0.014
ciprofloxacin,amr__multispecies_streptothricin_n-acetyltransferase_sat1,40,0.547
ciprofloxacin,amr__multispecies_streptothricin_n-acetyltransferase_sat4,1,0.014
ciprofloxacin,amr__multispecies_subclass_b1_metallo-beta-lactamase_ndm-1,1,0.014
ciprofloxacin,amr__multispecies_subclass_b1_metallo-beta-lactamase_ndm-5,10,0.137
ciprofloxacin,amr__multispecies_sulfonamide-resistant_dihydropteroate_synthase_sul1,283,3.87
ciprofloxacin,amr__multispecies_sulfonamide-resistant_dihydropteroate_synthase_sul2,307,4.198
ciprofloxacin,amr__multispecies_sulfonamide-resistant_dihydropteroate_synthase_sul3,23,0.315
ciprofloxacin,amr__multispecies_tetracycline-inactivating_monooxygenase_tetx,1,0.014
ciprofloxacin,amr__multispecies_tetracycline_efflux_mfs_transporter_teta,199,2.721
ciprofloxacin,amr__multispecies_tetracycline_efflux_mfs_transporter_tetb,162,2.215
ciprofloxacin,amr__multispecies_tetracycline_efflux_mfs_transporter_tetc,3,0.041
ciprofloxacin,amr__multispecies_tetracycline_efflux_mfs_transporter_tetd,12,0.164
ciprofloxacin,amr__multispecies_tetracycline_resistance_ribosomal_protection_protein_tetm,2,0.027
ciprofloxacin,amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra1,72,0.985
ciprofloxacin,amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra10,1,0.014
ciprofloxacin,amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra12,44,0.602
ciprofloxacin,amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra14,59,0.807
ciprofloxacin,amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra16,1,0.014
ciprofloxacin,amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra17,162,2.215
ciprofloxacin,amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra19,2,0.027
